case_id,event_id,order,activity,ingredient
0,0,1,depend,squash
0,1,1,cut,squash
0,2,3,use,squash
0,3,3,use,oil
0,4,3,use,butter
0,5,3,use,squash
0,6,4,use,mexican
0,7,5,use,squash
0,8,5,use,honey
0,9,5,use,butter
0,10,5,use,squash
0,11,6,use,mexican
0,12,6,use,spice
0,13,8,burn,squash
0,14,8,opt,squash
0,15,8,use,squash
0,16,8,burn,butter
0,17,8,opt,butter
0,18,8,use,butter
0,19,9,feel,squash
0,20,9,cover,squash
0,21,9,give,squash
0,22,9,take,squash
0,23,10,use,salt
1,24,1,use,pizza
1,25,3,cut,sausage
1,26,4,whisk,milk
1,27,5,sprinkle,sausage
1,28,5,sprinkle,crust
1,29,5,sprinkle,cheese
1,30,6,pour,sausage
1,31,6,pour,cheese
1,32,8,bake,crust
1,33,8,set,crust
2,34,0,use,ground
2,35,0,use,beef
2,36,1,add,ground
2,37,1,wilt,ground
2,38,1,add,beef
2,39,1,wilt,beef
2,40,3,add,kidney
2,41,3,like,kidney
2,42,3,add,chili
2,43,3,like,chili
2,44,5,serve,lettuce
2,45,5,serve,cheese
3,46,10,garnish,bell
3,47,10,garnish,pepper
6,48,0,toast,fennel
6,49,0,crush,fennel
7,50,1,rub,sauce
7,51,1,rub,garlic
7,52,1,rub,ginger
7,53,1,rub,chili
7,54,1,rub,powder
7,55,1,rub,pepper
7,56,1,rub,salt
7,57,1,rub,cilantro
7,58,9,offer,sauce
8,59,2,top,chocolate
8,60,3,scoop,vanilla
8,61,3,smooth,vanilla
8,62,3,scoop,ice
8,63,3,smooth,ice
8,64,3,scoop,cream
8,65,3,smooth,cream
8,66,3,scoop,chocolate
8,67,3,smooth,chocolate
8,68,5,use,strawberry
8,69,5,use,ice
8,70,5,use,cream
8,71,7,serve,chocolate
8,72,7,serve,cream
9,73,1,use,butter
9,74,2,whip,sugar
9,75,2,whip,butter
9,76,3,add,lemon
9,77,3,add,juice
9,78,3,add,rind
10,79,0,mash,cranberry
10,80,0,mash,sauce
10,81,1,stir,cream
10,82,1,blend,cream
10,83,1,stir,horseradish
10,84,1,blend,horseradish
11,85,0,crush,vanilla
11,86,0,line,vanilla
11,87,1,use,butter
11,88,1,use,sugar
11,89,4,spread,strawberry
11,90,4,spread,sugar
11,91,4,spread,butter
11,92,5,use,strawberry
11,93,5,use,cream
12,94,0,cover,bean
12,95,0,cover,bouillon
12,96,0,cover,water
12,97,3,drain,bean
12,98,3,pour,bean
12,99,4,add,water
12,100,4,stir,water
12,101,4,bake,water
12,102,4,evaporate,water
12,103,7,add,water
12,104,7,bake,water
12,105,7,evaporate,water
12,106,7,add,water
12,107,7,bake,water
12,108,7,evaporate,water
13,109,3,add,sugar
13,110,3,add,molasses
13,111,3,add,sauce
13,112,3,add,whiskey
13,113,3,add,ham
13,114,3,add,hock
13,115,6,add,salt
13,116,6,taste,salt
14,117,0,combine,herb
15,118,0,dredge,pork
15,119,0,dredge,flour
15,120,0,dredge,salt
15,121,0,dredge,mustard
15,122,0,dredge,garlic
15,123,0,dredge,powder
15,124,1,use,oil
15,125,2,brown,pork
15,126,3,add,soup
16,127,1,sprinkle,cornstarch
16,128,2,open,egg
16,129,2,face,egg
16,130,2,open,roll
16,131,2,face,roll
16,132,3,roll,cheese
16,133,3,tuck,cheese
16,134,3,moisten,cheese
16,135,3,seal,cheese
16,136,3,roll,roll
16,137,3,tuck,roll
16,138,3,moisten,roll
16,139,3,seal,roll
16,140,4,toss,cornstarch
16,141,4,dust,cornstarch
16,142,5,shake,cornstarch
16,143,5,cover,cornstarch
16,144,5,start,cornstarch
16,145,5,ooze,cornstarch
16,146,5,shake,oil
16,147,5,cover,oil
16,148,5,start,oil
16,149,5,ooze,oil
16,150,5,shake,cheese
16,151,5,cover,cheese
16,152,5,start,cheese
16,153,5,ooze,cheese
17,154,0,melt,butterscotch
17,155,1,fold,chinese
17,156,1,coat,chinese
18,157,0,use,ground
18,158,0,use,onion
18,159,1,add,sauce
18,160,2,slice,celery
18,161,3,add,beef
18,162,3,add,broth
18,163,3,add,celery
18,164,5,reduce,celery
18,165,5,simmer,celery
18,166,6,add,sauce
18,167,6,need,sauce
18,168,7,serve,hamburger
19,169,0,heat,oil
19,170,0,add,oil
19,171,0,heat,onion
19,172,0,add,onion
19,173,0,heat,garlic
19,174,0,add,garlic
19,175,1,saute,onion
19,176,2,add,cauliflower
19,177,2,add,water
19,178,5,remove,vegetable
19,179,6,use,bean
19,180,6,use,vegetable
20,181,0,bring,water
20,182,0,bring,salt
20,183,3,add,spinach
20,184,3,boil,spinach
20,185,3,overcook,spinach
20,186,3,maintain,spinach
20,187,5,process,spinach
20,188,5,add,spinach
20,189,5,process,butter
20,190,5,add,butter
20,191,7,reheat,salt
20,192,7,reheat,pepper
20,193,8,ladle,nutmeg
21,194,0,saute,onion
21,195,0,stir,onion
21,196,0,saute,scallions
21,197,0,stir,scallions
21,198,0,saute,apple
21,199,0,stir,apple
21,200,0,saute,juice
21,201,0,stir,juice
21,202,0,saute,oil
21,203,0,stir,oil
21,204,1,add,spinach
21,205,1,add,parsley
21,206,1,add,celery
21,207,2,cook,broth
21,208,2,stir,broth
21,209,2,add,broth
21,210,2,cook,oats
21,211,2,stir,oats
21,212,2,add,oats
21,213,2,cook,salt
21,214,2,stir,salt
21,215,2,add,salt
21,216,2,cook,thyme
21,217,2,stir,thyme
21,218,2,add,thyme
21,219,2,cook,pepper
21,220,2,stir,pepper
21,221,2,add,pepper
22,222,0,combine,soup
22,223,0,set,soup
22,224,0,combine,egg
22,225,0,set,egg
22,226,0,combine,salt
22,227,0,set,salt
22,228,1,mix,flour
22,229,1,mix,cornstarch
22,230,1,mix,garlic
22,231,1,mix,powder
22,232,1,mix,paprika
22,233,1,mix,salt
22,234,1,mix,pepper
22,235,2,dip,chicken
22,236,2,turn,chicken
22,237,2,coat,chicken
22,238,2,dip,soup
22,239,2,turn,soup
22,240,2,coat,soup
22,241,3,shake,chicken
22,242,3,shake,flour
22,243,3,shake,chicken
22,244,4,place,chicken
22,245,4,allow,chicken
22,246,4,set,chicken
22,247,4,become,chicken
22,248,5,use,oil
22,249,5,cover,oil
22,250,5,use,oil
22,251,5,cover,oil
22,252,5,use,chicken
22,253,5,cover,chicken
22,254,6,fry,chicken
22,255,6,cook,chicken
22,256,6,run,chicken
22,257,6,fry,oil
22,258,6,cook,oil
22,259,6,run,oil
23,260,0,use,flour
23,261,0,use,sugar
23,262,0,use,powder
23,263,0,use,salt
23,264,1,make,flour
23,265,1,pour,flour
23,266,1,make,milk
23,267,1,pour,milk
23,268,1,make,vanilla
23,269,1,pour,vanilla
23,270,1,make,egg
23,271,1,pour,egg
23,272,1,make,oil
23,273,1,pour,oil
23,274,3,use,vegetable
23,275,3,use,oil
23,276,4,start,oil
23,277,4,ripple,oil
23,278,6,use,butter
23,279,6,use,bread
23,280,7,sprinkle,sugar
23,281,7,sprinkle,cinnamon
23,282,7,sprinkle,bread
23,283,8,make,bread
23,284,8,place,bread
23,285,8,make,sugar
23,286,8,place,sugar
23,287,10,test,oil
23,288,10,drop,oil
23,289,12,need,oil
23,290,12,melt,oil
23,291,12,scorch,oil
23,292,12,need,sugar
23,293,12,melt,sugar
23,294,12,scorch,sugar
23,295,14,use,oil
23,296,14,place,oil
23,297,16,try,oil
23,298,16,avoid,oil
23,299,16,splatter,oil
23,300,17,remove,oil
23,301,19,sprinkle,sugar
23,302,19,serve,sugar
24,303,0,cut,butter
24,304,0,bring,butter
24,305,1,combine,egg
24,306,1,combine,lemon
24,307,1,combine,juice
24,308,1,combine,salt
24,309,1,combine,pepper
24,310,2,add,butter
24,311,4,melt,butter
24,312,4,begin,butter
24,313,4,thicken,butter
24,314,4,add,butter
24,315,4,stir,butter
24,316,4,melt,butter
24,317,4,begin,butter
24,318,4,thicken,butter
24,319,4,add,butter
24,320,4,stir,butter
26,321,2,chop,onion
26,322,2,add,onion
26,323,2,chop,pepper
26,324,2,add,pepper
26,325,2,chop,garlic
26,326,2,add,garlic
26,327,8,serve,garlic
27,328,1,cover,meat
27,329,1,cook,meat
27,330,2,add,zucchini
27,331,2,add,cabbage
27,332,2,add,macaroni
27,333,4,sprinkle,cheese
28,334,5,pour,margarine
28,335,5,toss,margarine
28,336,5,coat,margarine
29,337,0,saute,butter
29,338,0,saute,carrot
29,339,0,saute,onion
29,340,0,saute,celery
29,341,0,saute,broccoli
29,342,0,saute,stem
29,343,1,add,thyme
29,344,1,add,oregano
29,345,1,add,basil
29,346,3,add,wine
29,347,3,deglaze,wine
29,348,4,add,chicken
29,349,4,reduce,chicken
29,350,4,add,stock
29,351,4,reduce,stock
29,352,5,add,sauce
29,353,5,add,tabasco
29,354,5,add,chicken
29,355,5,add,broccoli
29,356,5,add,floret
29,357,7,add,cream
29,358,7,simmer,cream
29,359,7,taste,cream
29,360,8,drop,butter
29,361,8,stir,butter
29,362,8,serve,butter
29,363,9,smoke,chicken
29,364,9,cook,chicken
29,365,9,smoke,chicken
29,366,9,cook,chicken
30,367,2,whisk,butter
30,368,2,whisk,sugar
30,369,2,whisk,vanilla
30,370,7,arrange,peppermint
31,371,1,use,ground
31,372,1,use,beef
31,373,1,use,onion
31,374,3,stir,tomato
31,375,3,adjust,tomato
31,376,3,stir,sauce
31,377,3,adjust,sauce
31,378,3,stir,taco
31,379,3,adjust,taco
31,380,3,stir,sauce
31,381,3,adjust,sauce
31,382,3,stir,salt
31,383,3,adjust,salt
31,384,3,stir,pepper
31,385,3,adjust,pepper
31,386,3,stir,tabasco
31,387,3,adjust,tabasco
31,388,3,stir,cornmeal
31,389,3,adjust,cornmeal
31,390,4,stir,cornmeal
31,391,4,desire,cornmeal
31,392,5,stir,corn
31,393,8,remove,cheese
31,394,8,melt,cheese
31,395,8,remove,cheese
31,396,8,melt,cheese
31,397,9,garnish,corn
31,398,9,serve,corn
31,399,9,keep,corn
32,400,0,use,butter
32,401,0,use,mix
32,402,1,spread,bread
32,403,2,begin,butter
32,404,2,seep,butter
32,405,2,bubble,butter
33,406,1,add,venison
33,407,1,mix,venison
35,408,5,want,zucchini
35,409,5,use,zucchini
35,410,5,add,zucchini
35,411,5,give,zucchini
36,412,1,squeeze,spinach
36,413,2,combine,spinach
36,414,2,combine,spinach
36,415,2,combine,crouton
36,416,2,combine,crouton
36,417,3,pour,crouton
37,418,6,combine,onion
37,419,8,combine,mayonnaise
39,420,0,drain,onion
39,421,0,drain,oil
39,422,1,remove,soup
39,423,1,add,soup
39,424,2,taste,salt
39,425,2,taste,pepper
39,426,4,spoon,cornbread
39,427,4,spread,cornbread
39,428,4,spoon,mix
39,429,4,spread,mix
39,430,5,bake,cornbread
40,431,0,cook,angel
40,432,0,cook,hair
40,433,0,cook,pasta
40,434,2,use,sesame
40,435,2,use,oil
40,436,2,use,sauce
40,437,2,use,honey
40,438,2,use,garlic
40,439,2,use,sesame
40,440,4,pour,sauce
40,441,4,toss,sauce
40,442,4,pour,angel
40,443,4,toss,angel
40,444,4,pour,hair
40,445,4,toss,hair
40,446,5,cook,pasta
40,447,5,cook,garlic
41,448,1,add,sugar
41,449,1,cut,sugar
41,450,1,add,flour
41,451,1,cut,flour
41,452,1,add,cinnamon
41,453,1,cut,cinnamon
41,454,1,add,butter
41,455,1,cut,butter
41,456,5,combine,flour
41,457,5,combine,cocoa
41,458,5,combine,powder
41,459,5,combine,cinnamon
41,460,5,combine,soda
41,461,5,combine,salt
41,462,6,beat,honey
41,463,6,beat,sugar
41,464,6,beat,oil
41,465,6,beat,yam
41,466,6,beat,juice
41,467,7,add,buttermilk
41,468,7,buttermilk,buttermilk
41,469,7,stir,buttermilk
41,470,7,blend,buttermilk
42,471,2,place,water
42,472,2,pour,water
42,473,4,combine,flour
42,474,4,combine,cocoa
42,475,4,combine,powder
42,476,4,combine,cinnamon
42,477,4,combine,soda
42,478,4,combine,salt
42,479,5,beat,sorghum
42,480,5,beat,oil
42,481,5,beat,yam
42,482,5,beat,juice
42,483,6,add,buttermilk
42,484,6,buttermilk,buttermilk
42,485,6,stir,buttermilk
42,486,6,blend,buttermilk
42,487,8,sprinkle,sugar
43,488,0,use,&
43,489,1,stir,sugar
43,490,1,taste,sugar
43,491,1,stir,mustard
43,492,1,taste,mustard
43,493,1,stir,beer
43,494,1,taste,beer
43,495,1,stir,cayenne
43,496,1,taste,cayenne
43,497,1,stir,garlic
43,498,1,taste,garlic
43,499,1,stir,salt
43,500,1,taste,salt
43,501,1,stir,&
43,502,1,taste,&
43,503,1,stir,pepper
43,504,1,taste,pepper
43,505,3,cover,cheese
43,506,3,melt,cheese
43,507,3,cover,cheese
43,508,3,melt,cheese
43,509,4,stir,cheese
44,510,0,cook,pasta
44,511,0,set,pasta
44,512,1,use,onion
44,513,1,use,dill
44,514,1,use,water
44,515,1,use,chestnut
