case_id,event_id,order,activity,ingredient
102,0,0,use,limeade
102,1,0,use,lime
102,2,0,use,juice
102,3,0,use,tequila
102,4,2,garnish,lime
102,5,2,garnish,wedge
102,6,2,garnish,marnier
264,7,0,add,orgeat
264,8,2,add,rum
264,9,3,add,pineapple
264,10,3,add,juice
264,11,4,float,bacardi
264,12,4,float,rum
264,13,4,float,rum
272,14,0,mix,ouzo
272,15,0,pour,ouzo
272,16,0,mix,juice
272,17,0,pour,juice
272,18,0,mix,ice
272,19,0,pour,ice
272,20,1,garnish,slice
272,21,1,get,slice
295,22,0,pour,wine
295,23,0,serve,wine
295,24,0,pour,vodka
295,25,0,serve,vodka
295,26,0,pour,schnapps
295,27,0,serve,schnapps
295,28,0,pour,peach
295,29,0,serve,peach
295,30,2,serve,juice
295,31,2,add,juice
295,32,2,serve,lemonade
295,33,2,add,lemonade
304,34,0,rinse,vermouth
304,35,1,add,vodka
304,36,1,fill,vodka
304,37,1,add,gin
304,38,1,fill,gin
304,39,1,add,lillet
304,40,1,fill,lillet
304,41,1,add,blanc
304,42,1,fill,blanc
416,43,1,brew,tea
416,44,1,chill,tea
416,45,2,stir,sugar
416,46,2,cool,sugar
416,47,3,blend,rum
416,48,3,blend,tequila
416,49,3,blend,marnier
416,50,5,fill,tea
509,51,0,take,beer
509,52,0,keep,beer
509,53,0,take,lemon
509,54,0,keep,lemon
509,55,0,take,ice
509,56,0,keep,ice
509,57,2,come,beer
509,58,2,taste,beer
509,59,2,change,beer
509,60,2,come,beer
509,61,2,taste,beer
509,62,2,change,beer
509,63,2,come,beer
509,64,2,taste,beer
509,65,2,change,beer
570,66,0,place,vodka
570,67,0,combine,vodka
570,68,0,use,vodka
570,69,1,add,beer
570,70,1,fill,beer
570,71,1,stir,beer
589,72,0,shake,bourbon
589,73,0,shake,marnier
589,74,0,shake,vodka
589,75,1,pour,pineapple
589,76,1,add,pineapple
589,77,1,fill,pineapple
589,78,1,pour,juice
589,79,1,add,juice
589,80,1,fill,juice
590,81,0,combine,ice
705,82,1,add,ale
705,83,1,fill,ale
705,84,1,add,ale
705,85,1,add,rum
705,86,1,fill,rum
705,87,1,add,rum
705,88,2,serve,cinnamon
705,89,2,garnish,cinnamon
705,90,2,pour,cinnamon
705,91,2,serve,stick
705,92,2,garnish,stick
705,93,2,pour,stick
705,94,5,freeze,cinnamon
705,95,5,combine,cinnamon
705,96,5,freeze,stick
705,97,5,combine,stick
720,98,0,divide,pineapple
720,99,0,divide,juice
720,100,0,divide,champagne
720,101,0,divide,champagne
720,102,2,garnish,pineapple
912,103,0,add,jalapeno
912,104,0,add,vodka
912,105,1,arrive,beer
912,106,1,pour,beer
912,107,1,arrive,ice
912,108,1,pour,ice
912,109,2,float,vodka
912,110,2,infuse,vodka
992,111,0,use,vanilla
992,112,0,use,bean
992,113,1,use,coffee
992,114,1,let,coffee
992,115,2,pour,coffee
992,116,2,pour,coffee
992,117,3,use,coffee
992,118,3,use,vodka
992,119,3,use,sugar
992,120,3,use,molasses
992,121,6,clean,coffee
1090,122,0,use,grape
1090,123,0,use,juice
1090,124,2,pour,grape
1090,125,2,pour,juice
1129,126,0,combine,rum
1129,127,0,combine,mango
1129,128,0,combine,rum
1129,129,1,add,curacao
1129,130,1,shake,curacao
1129,131,1,strain,curacao
1129,132,2,add,sprite
1129,133,2,add,lemonade
1383,134,0,put,ice
1383,135,1,add,margarita
1383,136,1,add,mix
1383,137,1,add,tequila
1383,138,3,add,lime
1383,139,3,add,salt
1383,140,3,add,margarita
1383,141,4,cut,lime
1410,142,1,serve,coffee
1463,143,0,crushed,candy
1463,144,0,crushed,cane
1463,145,2,hold,candy
1463,146,2,rotate,candy
1463,147,3,combine,vodka
1463,148,3,combine,menthe
1463,149,3,combine,cranberry
1463,150,3,combine,juice
1463,151,3,combine,ice
1463,152,7,garnish,candy
1463,153,7,hook,candy
1463,154,7,garnish,cane
1463,155,7,hook,cane
1496,156,1,stuff,coffee
1496,157,2,put,sugar
1496,158,2,mouth,sugar
1496,159,2,put,rum
1496,160,2,mouth,rum
1512,161,0,use,mix
1512,162,3,use,mix
1512,163,6,use,mix
1513,164,0,mix,mix
1621,165,2,garnish,lime
1792,166,0,fill,ice
1792,167,0,add,ice
1792,168,1,use,ice
1828,169,1,shake,coconut
1828,170,1,shake,coconut
1885,171,0,shake,rum
