case_id,event_id,order,activity,ingredient
0,0,1,depend,squash
0,1,1,cut,squash
0,2,3,use,squash
0,3,3,use,oil
0,4,3,use,butter
0,5,3,use,squash
0,6,4,use,mexican
0,7,5,use,squash
0,8,5,use,honey
0,9,5,use,butter
0,10,5,use,squash
0,11,6,use,mexican
0,12,6,use,spice
0,13,8,burn,squash
0,14,8,opt,squash
0,15,8,use,squash
0,16,8,burn,butter
0,17,8,opt,butter
0,18,8,use,butter
0,19,9,feel,squash
0,20,9,cover,squash
0,21,9,give,squash
0,22,9,take,squash
0,23,10,use,salt
31,24,1,use,ground
31,25,1,use,beef
31,26,1,use,onion
31,27,3,stir,tomato
31,28,3,adjust,tomato
31,29,3,stir,sauce
31,30,3,adjust,sauce
31,31,3,stir,taco
31,32,3,adjust,taco
31,33,3,stir,sauce
31,34,3,adjust,sauce
31,35,3,stir,salt
31,36,3,adjust,salt
31,37,3,stir,pepper
31,38,3,adjust,pepper
31,39,3,stir,tabasco
31,40,3,adjust,tabasco
31,41,3,stir,cornmeal
31,42,3,adjust,cornmeal
31,43,4,stir,cornmeal
31,44,4,desire,cornmeal
31,45,5,stir,corn
31,46,8,remove,cheese
31,47,8,melt,cheese
31,48,8,remove,cheese
31,49,8,melt,cheese
31,50,9,garnish,corn
31,51,9,serve,corn
31,52,9,keep,corn
60,53,0,direct,pasta
60,54,2,use,picante
60,55,2,use,sauce
60,56,2,use,milk
60,57,2,use,cheese
60,58,2,use,soup
60,59,4,garnish,sauce
60,60,4,garnish,pasta
69,61,0,cover,water
69,62,5,use,chili
69,63,5,use,powder
69,64,5,use,cumin
69,65,5,use,oregano
69,66,5,use,cayenne
69,67,6,take,flour
69,68,6,take,water
69,69,10,melt,butter
69,70,11,add,onion
69,71,11,add,zucchini
69,72,11,add,celery
69,73,11,add,pepper
69,74,12,stir,onion
69,75,15,stir,cheese
69,76,16,use,salt
69,77,17,melt,cheese
69,78,17,put,cheese
69,79,17,melt,vegetable
69,80,17,put,vegetable
69,81,20,use,flour
69,82,20,use,powder
69,83,21,cut,butter
69,84,21,shorten,butter
69,85,21,look,butter
69,86,23,add,sauce
69,87,23,add,water
69,88,26,turn,floured
69,89,26,knead,floured
69,90,26,remove,floured
69,91,29,fill,vegetable
69,92,30,moisten,water
69,93,30,bring,water
69,94,30,pinch,water
69,95,30,flute,water
69,96,35,prick,egg
69,97,35,prick,water
89,98,0,put,avocado
89,99,1,add,tofu
89,100,1,add,salsa
102,101,0,use,limeade
102,102,0,use,lime
102,103,0,use,juice
102,104,0,use,tequila
102,105,2,garnish,lime
102,106,2,garnish,wedge
102,107,2,garnish,marnier
132,108,3,serve,chili
191,109,0,combine,tomato
191,110,0,combine,paste
191,111,0,combine,water
191,112,2,add,tomato
237,113,0,make,salad
237,114,0,chill,salad
237,115,1,break,lettuce
237,116,2,add,cheese
237,117,3,toss,avocado
237,118,4,use,cheese
237,119,5,make,avocado
237,120,5,put,avocado
242,121,0,add,chicken
242,122,0,let,chicken
242,123,0,add,chicken
242,124,1,use,salt
242,125,1,use,pepper
242,126,1,use,chicken
242,127,1,use,breast
242,128,2,like,chicken
242,129,2,cut,chicken
242,130,2,slice,chicken
242,131,2,thin,chicken
242,132,3,sprinkle,cumin
242,133,3,add,cumin
242,134,3,sprinkle,chicken
242,135,3,add,chicken
242,136,5,remove,chicken
242,137,5,set,chicken
242,138,5,cool,chicken
242,139,5,cut,chicken
242,140,6,cut,celery
242,141,6,add,celery
242,142,6,cut,bell
242,143,6,add,bell
242,144,6,cut,pepper
242,145,6,add,pepper
242,146,6,cut,onion
242,147,6,add,onion
242,148,7,let,corn
242,149,7,add,corn
242,150,8,cut,corn
242,151,8,add,corn
242,152,10,chop,chipotle
242,153,10,add,chipotle
242,154,10,cover,chipotle
242,155,10,chop,pepper
242,156,10,add,pepper
242,157,10,cover,pepper
242,158,10,chop,pepper
242,159,10,add,pepper
242,160,10,cover,pepper
242,161,12,let,chicken
242,162,12,simmer,chicken
242,163,12,add,chicken
242,164,12,let,broth
242,165,12,simmer,broth
242,166,12,add,broth
242,167,13,add,cilantro
242,168,13,let,cilantro
242,169,15,serve,cilantro
242,170,15,garnish,cilantro
242,171,15,serve,avocado
242,172,15,garnish,avocado
306,173,1,mix,cream
306,174,1,combine,cream
306,175,1,mix,vegetable
306,176,1,combine,vegetable
306,177,1,mix,soup
306,178,1,combine,soup
306,179,1,mix,mix
306,180,1,combine,mix
306,181,2,drain,cream
306,182,2,stir,cream
306,183,3,add,cheese
306,184,3,stir,cheese
306,185,4,pour,cheese
313,186,0,let,cream
313,187,0,come,cream
313,188,0,let,cheese
313,189,0,come,cheese
313,190,1,drain,chicken
313,191,2,blend,cream
313,192,2,blend,cheese
313,193,2,blend,chicken
313,194,4,spread,chicken
313,195,5,roll,chicken
313,196,5,start,chicken
313,197,5,spread,chicken
313,198,7,use,oil
313,199,8,drop,oil
313,200,8,fry,oil
333,201,0,make,lime
333,202,0,place,lime
333,203,0,sprinkle,lime
333,204,0,make,juice
333,205,0,place,juice
333,206,0,sprinkle,juice
333,207,0,make,paprika
333,208,0,place,paprika
333,209,0,sprinkle,paprika
333,210,0,make,salt
333,211,0,place,salt
333,212,0,sprinkle,salt
333,213,0,make,pepper
333,214,0,place,pepper
333,215,0,sprinkle,pepper
333,216,0,make,powder
333,217,0,place,powder
333,218,0,sprinkle,powder
333,219,10,spread,avocado
333,220,11,sprinkle,cheese
333,221,11,desire,cheese
333,222,11,sprinkle,salsa
333,223,11,desire,salsa
333,224,11,sprinkle,cilantro
333,225,11,desire,cilantro
333,226,11,sprinkle,cabbage
333,227,11,desire,cabbage
333,228,11,sprinkle,sauce
333,229,11,desire,sauce
349,230,0,cut,chicken
349,231,0,add,chicken
349,232,0,set,chicken
349,233,0,cut,cumin
349,234,0,add,cumin
349,235,0,set,cumin
349,236,0,cut,taco
349,237,0,add,taco
349,238,0,set,taco
349,239,0,cut,salt
349,240,0,add,salt
349,241,0,set,salt
349,242,0,cut,pepper
349,243,0,add,pepper
349,244,0,set,pepper
349,245,0,cut,paprika
349,246,0,add,paprika
349,247,0,set,paprika
349,248,0,cut,adobo
349,249,0,add,adobo
349,250,0,set,adobo
349,251,1,accord,rice
349,252,2,add,oil
349,253,3,add,chicken
349,254,4,cook,chicken
349,255,4,peel,chicken
349,256,4,make,chicken
349,257,4,accord,chicken
349,258,4,cook,guacamole
349,259,4,peel,guacamole
349,260,4,make,guacamole
349,261,4,accord,guacamole
349,262,6,put,corn
349,263,6,put,cilantro
349,264,7,like,corn
349,265,7,warm,corn
349,266,9,start,chicken
349,267,9,start,rice
349,268,13,put,lettuce
349,269,13,add,lettuce
349,270,13,put,rice
349,271,13,add,rice
349,272,13,put,chicken
349,273,13,add,chicken
373,274,0,combine,jalapeno
373,275,0,combine,onion
373,276,0,combine,onion
373,277,0,combine,cilantro
373,278,0,combine,garlic
373,279,1,stir,lemon
373,280,1,stir,juice
373,281,1,stir,lime
373,282,1,stir,juice
373,283,1,stir,sugar
373,284,1,stir,coriander
373,285,1,stir,cumin
373,286,1,stir,salt
373,287,2,stir,sugar
373,288,2,dissolve,sugar
373,289,2,pour,sugar
373,290,2,stir,salt
373,291,2,dissolve,salt
373,292,2,pour,salt
442,293,1,use,oil
442,294,2,add,onion
442,295,2,saute,onion
442,296,2,add,pepper
442,297,2,saute,pepper
442,298,3,add,corn
442,299,3,add,cheese
442,300,10,tear,corn
442,301,10,fit,corn
442,302,13,sprinkle,cheese
469,303,1,use,ground
469,304,1,use,beef
469,305,2,add,taco
469,306,2,add,beef
469,307,3,fill,water
469,308,3,add,water
469,309,5,let,water
469,310,5,simmer,water
469,311,5,cover,water
469,312,5,evaporate,water
469,313,7,sprinkle,cheese
469,314,8,pour,cheese
469,315,10,cover,cheese
469,316,10,cover,onion
469,317,11,bake,cheese
469,318,11,melt,cheese
469,319,12,serve,tortilla
596,320,0,heat,oil
596,321,0,add,oil
596,322,0,cook,oil
596,323,0,brown,oil
596,324,0,heat,onion
596,325,0,add,onion
596,326,0,cook,onion
596,327,0,brown,onion
596,328,0,heat,garlic
596,329,0,add,garlic
596,330,0,cook,garlic
596,331,0,brown,garlic
596,332,0,heat,pepper
596,333,0,add,pepper
596,334,0,cook,pepper
596,335,0,brown,pepper
596,336,1,stir,stock
596,337,1,stir,sauce
596,338,1,stir,lime
596,339,1,stir,juice
596,340,1,stir,pepper
596,341,1,stir,cayenne
596,342,2,simmer,chicken
596,343,2,cook,chicken
596,344,3,stir,cilantro
596,345,3,adjust,cilantro
596,346,3,need,cilantro
604,347,2,add,salsa
604,348,2,taste,salsa
604,349,4,use,salsa
604,350,5,add,cream
604,351,5,taste,cream
604,352,6,add,cream
604,353,6,make,cream
604,354,6,add,cream
692,355,0,use,oil
692,356,0,add,oil
692,357,0,use,rice
692,358,0,add,rice
692,359,1,reduce,bell
692,360,1,add,bell
692,361,1,continue,bell
692,362,1,reduce,pepper
692,363,1,add,pepper
692,364,1,continue,pepper
692,365,1,reduce,onion
692,366,1,add,onion
692,367,1,continue,onion
692,368,1,reduce,garlic
692,369,1,add,garlic
692,370,1,continue,garlic
692,371,2,add,water
692,372,2,add,tomato
692,373,2,add,chili
692,374,2,add,powder
692,375,2,add,salt
692,376,4,slide,water
692,377,4,escape,water
692,378,4,slide,rice
692,379,4,escape,rice
719,380,1,set,cheese
719,381,3,sprinkle,cheese
719,382,3,spread,cheese
719,383,3,sprinkle,cheese
719,384,3,spread,cheese
719,385,3,sprinkle,tortilla
719,386,3,spread,tortilla
719,387,4,start,cheese
719,388,4,melt,cheese
719,389,4,lie,cheese
719,390,4,press,cheese
719,391,4,start,tortilla
719,392,4,melt,tortilla
719,393,4,lie,tortilla
719,394,4,press,tortilla
719,395,4,start,cheese
719,396,4,melt,cheese
719,397,4,lie,cheese
719,398,4,press,cheese
719,399,4,start,cheese
719,400,4,melt,cheese
719,401,4,lie,cheese
719,402,4,press,cheese
719,403,5,let,tortilla
719,404,5,sit,tortilla
719,405,6,test,tortilla
719,406,6,slide,tortilla
719,407,7,check,tortilla
719,408,7,turn,tortilla
719,409,7,stick,tortilla
719,410,7,check,cheese
719,411,7,turn,cheese
719,412,7,stick,cheese
719,413,7,check,tortilla
719,414,7,turn,tortilla
719,415,7,stick,tortilla
719,416,8,stick,cheese
719,417,8,slide,cheese
719,418,8,flip,cheese
719,419,8,stick,tortilla
719,420,8,slide,tortilla
719,421,8,flip,tortilla
719,422,9,use,tortilla
743,423,0,take,flour
743,424,0,put,flour
743,425,0,spread,flour
743,426,0,leave,flour
743,427,2,pour,taco
743,428,2,pour,sauce
743,429,3,grab,cheese
743,430,3,put,cheese
743,431,3,grab,sauce
743,432,3,put,sauce
780,433,0,use,chili
780,434,1,add,rice
780,435,1,add,water
780,436,2,stir,rice
780,437,2,let,rice
780,438,2,simmer,rice
780,439,2,cook,rice
780,440,5,roll,cheese
780,441,5,roll,salsa
780,442,6,make,cheese
780,443,6,zap,cheese
780,444,6,melt,cheese
946,445,0,use,oil
946,446,1,add,chicken
946,447,1,get,chicken
946,448,1,go,chicken
946,449,1,stir,chicken
946,450,1,remove,chicken
946,451,1,keep,chicken
946,452,1,add,mix
946,453,1,get,mix
946,454,1,go,mix
946,455,1,stir,mix
946,456,1,remove,mix
946,457,1,keep,mix
946,458,1,add,lime
946,459,1,get,lime
946,460,1,go,lime
946,461,1,stir,lime
946,462,1,remove,lime
946,463,1,keep,lime
946,464,2,heat,oil
946,465,2,need,oil
946,466,2,stir,oil
946,467,2,fry,oil
946,468,2,heat,onion
946,469,2,need,onion
946,470,2,stir,onion
946,471,2,fry,onion
946,472,2,heat,pepper
946,473,2,need,pepper
946,474,2,stir,pepper
946,475,2,fry,pepper
946,476,3,mix,mix
946,477,3,squeeze,mix
946,478,3,mix,mix
946,479,3,mix,chicken
946,480,3,squeeze,chicken
946,481,3,mix,chicken
946,482,3,mix,lime
946,483,3,squeeze,lime
946,484,3,mix,lime
946,485,3,mix,mix
946,486,3,squeeze,mix
946,487,3,mix,mix
946,488,4,serve,tortilla
946,489,4,enjoy,tortilla
950,490,0,bring,chili
950,491,0,boil,chili
950,492,0,bring,water
950,493,0,boil,water
950,494,1,stir,rice
950,495,3,cook,minute
950,496,4,spoon,chili
950,497,5,fold,cheese
950,498,5,fold,cream
984,499,0,mix,enchilada
984,500,0,mix,sauce
984,501,0,mix,soup
984,502,0,mix,cream
984,503,1,stir,chicken
984,504,2,pour,soup
984,505,5,use,cheese
1077,506,0,combine,cilantro
1077,507,0,combine,lime
1077,508,2,add,salt
1077,509,5,build,cayenne
1077,510,5,dose,cayenne
1077,511,5,seem,cayenne
1077,512,5,stay,cayenne
1077,513,5,build,pepper
1077,514,5,dose,pepper
1077,515,5,seem,pepper
1077,516,5,stay,pepper
1077,517,7,add,onion
