case_id,event_id,order,activity,ingredient
41,0,3.5,add,sugar
41,1,3.5,cut,sugar
41,2,3.5,add,flour
41,3,3.5,cut,flour
41,4,3.5,add,cinnamon
41,5,3.5,cut,cinnamon
41,6,3.5,add,butter
41,7,3.5,cut,butter
41,8,7.0,use,pecan
41,9,17.5,combine,flour
41,10,17.5,combine,cocoa
41,11,17.5,combine,powder
41,12,17.5,combine,cinnamon
41,13,17.5,combine,clove
41,14,17.5,combine,soda
41,15,17.5,combine,salt
41,16,21.0,beat,egg
41,17,21.0,beat,honey
41,18,21.0,beat,sugar
41,19,21.0,beat,oil
41,20,21.0,beat,yam
41,21,21.0,beat,juice
41,22,24.5,add,egg
41,23,24.5,buttermilk,egg
41,24,24.5,stir,egg
41,25,24.5,blend,egg
41,26,24.5,add,buttermilk
41,27,24.5,buttermilk,buttermilk
41,28,24.5,stir,buttermilk
41,29,24.5,blend,buttermilk
42,30,9.0,place,raisin
42,31,9.0,pour,raisin
42,32,9.0,place,water
42,33,9.0,pour,water
42,34,18.0,combine,flour
42,35,18.0,combine,cocoa
42,36,18.0,combine,powder
42,37,18.0,combine,cinnamon
42,38,18.0,combine,clove
42,39,18.0,combine,soda
42,40,18.0,combine,salt
42,41,22.5,beat,egg
42,42,22.5,beat,sorghum
42,43,22.5,beat,oil
42,44,22.5,beat,yam
42,45,22.5,beat,juice
42,46,27.0,add,egg
42,47,27.0,buttermilk,egg
42,48,27.0,stir,egg
42,49,27.0,blend,egg
42,50,27.0,add,buttermilk
42,51,27.0,buttermilk,buttermilk
42,52,27.0,stir,buttermilk
42,53,27.0,blend,buttermilk
42,54,31.5,drain,raisin
42,55,31.5,add,raisin
42,56,31.5,batter,raisin
42,57,36.0,sprinkle,sugar
95,58,0.0,use,butter
95,59,0.0,use,sugar
95,60,7.0,blend,egg
95,61,14.0,add,banana
95,62,14.0,add,water
95,63,14.0,add,soda
95,64,14.0,add,salt
95,65,14.0,add,powder
95,66,28.0,stir,flour
95,67,35.0,add,nut
95,68,35.0,desire,nut
95,69,35.0,add,chip
95,70,35.0,desire,chip
95,71,42.0,pour,floured
101,72,0.0,blend,flour
101,73,0.0,blend,bran
101,74,0.0,blend,sugar
101,75,0.0,blend,soda
101,76,0.0,blend,salt
101,77,0.0,blend,cinnamon
101,78,0.0,blend,carrot
101,79,0.0,blend,raisin
101,80,8.0,use,buttermilk
101,81,8.0,use,oil
101,82,8.0,use,egg
101,83,8.0,use,vanilla
144,84,4.5,sift,flour
144,85,4.5,sift,sugar
144,86,4.5,sift,powder
144,87,4.5,sift,soda
144,88,4.5,sift,salt
144,89,6.0,whisk,butter
144,90,6.0,whisk,cream
144,91,6.0,whisk,egg
144,92,6.0,whisk,vanilla
144,93,7.5,stir,butter
144,94,7.5,stir,flour
187,95,1.9230769230769231,add,egg
187,96,1.9230769230769231,add,sugar
187,97,1.9230769230769231,add,oil
187,98,1.9230769230769231,add,milk
187,99,1.9230769230769231,add,molasses
187,100,5.769230769230769,add,flour
187,101,5.769230769230769,add,powder
187,102,5.769230769230769,add,soda
187,103,5.769230769230769,add,salt
187,104,5.769230769230769,add,bran
187,105,9.615384615384615,add,raisin
187,106,9.615384615384615,sunflower,raisin
187,107,9.615384615384615,add,sesame
187,108,9.615384615384615,sunflower,sesame
187,109,9.615384615384615,add,seed
187,110,9.615384615384615,sunflower,seed
187,111,9.615384615384615,add,sunflower
187,112,9.615384615384615,sunflower,sunflower
187,113,9.615384615384615,add,seed
187,114,9.615384615384615,sunflower,seed
316,115,0.9090909090909091,use,flour
316,116,2.727272727272727,use,flour
316,117,2.727272727272727,use,flour
316,118,2.727272727272727,use,flour
316,119,4.545454545454545,use,flour
316,120,5.454545454545454,use,milk
316,121,7.2727272727272725,use,milk
316,122,8.181818181818182,use,milk
316,123,11.818181818181815,use,egg
316,124,11.818181818181815,use,egg
316,125,13.636363636363631,heap,flour
316,126,14.54545454545454,use,egg
316,127,14.54545454545454,separate,egg
316,128,14.54545454545454,add,egg
316,129,14.54545454545454,beat,egg
316,130,14.54545454545454,fold,egg
316,131,15.454545454545448,use,sugar
316,132,17.272727272727266,substitute,sugar
316,133,18.181818181818176,substitute,milk
316,134,19.090909090909086,use,powder
316,135,20.909090909090907,use,milk
316,136,20.909090909090907,add,milk
316,137,21.818181818181817,omit,salt
316,138,24.545454545454547,use,milk
316,139,24.545454545454547,decrease,milk
316,140,28.181818181818187,use,milk
316,141,28.181818181818187,drain,milk
316,142,28.181818181818187,thaw,milk
316,143,28.181818181818187,substitute,milk
316,144,32.727272727272734,use,sugar
316,145,36.36363636363636,use,milk
394,146,5.0,combine,egg
394,147,5.0,combine,apple
394,148,5.0,combine,oil
394,149,5.0,combine,vanilla
394,150,10.0,use,carrot
394,151,10.0,use,apple
394,152,10.0,use,pineapple
394,153,10.0,use,raisin
394,154,10.0,use,walnut
394,155,10.0,use,coconut
394,156,15.0,add,egg
394,157,15.0,incorporate,egg
394,158,15.0,use,egg
426,159,0.0,put,water
426,160,0.0,put,vinegar
426,161,0.0,put,salt
426,162,2.5,add,walnut
426,163,10.0,pour,walnut
426,164,12.5,add,oats
426,165,12.5,stir,oats
426,166,12.5,blend,oats
426,167,17.5,add,applesauce
426,168,17.5,add,sugar
426,169,17.5,add,margarine
426,170,22.5,mix,flour
426,171,22.5,mix,soda
426,172,22.5,mix,powder
426,173,30.0,stir,raisin
426,174,30.0,stir,walnut
704,175,0.0,peel,apple
704,176,0.0,chop,apple
704,177,3.1818181818181817,peel,carrot
704,178,3.1818181818181817,shred,carrot
704,179,3.1818181818181817,chop,carrot
704,180,15.909090909090908,add,apple
704,181,15.909090909090908,add,carrot
792,182,12.857142857142858,combine,flour
792,183,12.857142857142858,combine,sugar
792,184,12.857142857142858,combine,powder
792,185,12.857142857142858,combine,soda
792,186,12.857142857142858,combine,salt
792,187,12.857142857142858,combine,nutmeg
792,188,12.857142857142858,combine,cinnamon
792,189,12.857142857142858,combine,clove
792,190,19.285714285714285,whisk,egg
792,191,19.285714285714285,beat,egg
792,192,19.285714285714285,blend,egg
792,193,19.285714285714285,whisk,pumpkin
792,194,19.285714285714285,beat,pumpkin
792,195,19.285714285714285,blend,pumpkin
792,196,19.285714285714285,whisk,puree
792,197,19.285714285714285,beat,puree
792,198,19.285714285714285,blend,puree
792,199,19.285714285714285,whisk,applesauce
792,200,19.285714285714285,beat,applesauce
792,201,19.285714285714285,blend,applesauce
792,202,19.285714285714285,whisk,yogurt
792,203,19.285714285714285,beat,yogurt
792,204,19.285714285714285,blend,yogurt
792,205,25.714285714285715,stir,raisin
792,206,25.714285714285715,combine,raisin
811,207,0.0,use,cereal
811,208,10.714285714285715,add,sugar
811,209,10.714285714285715,add,butter
811,210,10.714285714285715,add,egg
883,211,20.0,sift,flour
883,212,20.0,sift,soda
883,213,30.0,whisk,buttermilk
883,214,30.0,stir,buttermilk
883,215,30.0,whisk,egg
883,216,30.0,stir,egg
883,217,30.0,whisk,white
883,218,30.0,stir,white
883,219,30.0,whisk,oil
883,220,30.0,stir,oil
883,221,30.0,whisk,honey
883,222,30.0,stir,honey
883,223,30.0,whisk,blueberry
883,224,30.0,stir,blueberry
900,225,22.272727272727273,let,water
900,226,22.272727272727273,stand,water
900,227,22.272727272727273,soften,water
900,228,22.272727272727273,let,fruit
900,229,22.272727272727273,stand,fruit
900,230,22.272727272727273,soften,fruit
900,231,25.454545454545453,use,oil
1054,232,0.0,mix,mix
1054,233,0.0,combine,mix
1054,234,0.0,mix,pumpkin
1054,235,0.0,combine,pumpkin
1054,236,0.0,mix,spice
1054,237,0.0,combine,spice
1054,238,0.0,mix,cake
1054,239,0.0,combine,cake
1054,240,0.0,mix,mix
1054,241,0.0,combine,mix
1072,242,1.7857142857142858,use,splenda
1072,243,1.7857142857142858,use,butter
1072,244,5.357142857142858,add,egg
1072,245,5.357142857142858,add,vanilla
