case_id,event_id,order,activity,ingredient
1,0,1,use,pizza
1,1,3,cut,sausage
1,2,4,whisk,milk
1,3,5,sprinkle,sausage
1,4,5,sprinkle,crust
1,5,5,sprinkle,cheese
1,6,6,pour,sausage
1,7,6,pour,cheese
1,8,8,bake,crust
1,9,8,set,crust
302,10,1,use,oil
302,11,2,add,onion
302,12,2,saute,onion
302,13,2,add,celery
302,14,2,saute,celery
302,15,2,add,onion
302,16,2,saute,onion
302,17,2,add,celery
302,18,2,saute,celery
302,19,3,add,zucchini
302,20,4,add,sugar
302,21,4,add,salt
595,22,1,spread,dress
595,23,1,dress,dress
595,24,1,use,dress
595,25,1,depend,dress
595,26,1,spread,pizza
595,27,1,dress,pizza
595,28,1,use,pizza
595,29,1,depend,pizza
595,30,1,spread,crust
595,31,1,dress,crust
595,32,1,use,crust
595,33,1,depend,crust
595,34,3,use,cheese
595,35,3,use,bacon
595,36,4,bake,cheese
595,37,4,melt,cheese
595,38,5,use,lettuce
595,39,5,use,pickle
595,40,5,use,mustard
595,41,7,cut,pizza
595,42,7,come,pizza
595,43,7,let,pizza
595,44,7,top,pizza
739,45,2,remove,sausage
739,46,2,saute,sausage
739,47,2,add,sausage
739,48,2,simmer,sausage
739,49,2,remove,garlic
739,50,2,saute,garlic
739,51,2,add,garlic
739,52,2,simmer,garlic
739,53,2,remove,onion
739,54,2,saute,onion
739,55,2,add,onion
739,56,2,simmer,onion
739,57,2,remove,bell
739,58,2,saute,bell
739,59,2,add,bell
739,60,2,simmer,bell
739,61,2,remove,pepper
739,62,2,saute,pepper
739,63,2,add,pepper
739,64,2,simmer,pepper
739,65,2,remove,sausage
739,66,2,saute,sausage
739,67,2,add,sausage
739,68,2,simmer,sausage
739,69,2,remove,tomato
739,70,2,saute,tomato
739,71,2,add,tomato
739,72,2,simmer,tomato
739,73,2,remove,sauce
739,74,2,saute,sauce
739,75,2,add,sauce
739,76,2,simmer,sauce
739,77,3,pour,mozzarella
739,78,3,pour,pepperoni
852,79,1,use,pepperoni
852,80,1,use,ricotta
852,81,1,use,mozzarella
852,82,2,cut,dough
852,83,5,fight,dough
852,84,5,remain,dough
852,85,5,win,dough
852,86,8,use,oil
852,87,10,heat,sauce
881,88,0,dissolve,honey
881,89,0,let,honey
881,90,0,sit,honey
881,91,0,dissolve,yeast
881,92,0,let,yeast
881,93,0,sit,yeast
881,94,0,dissolve,water
881,95,0,let,water
881,96,0,sit,water
881,97,1,stir,salt
881,98,1,stir,flour
881,99,1,stir,gluten
897,100,4,use,oil
897,101,4,scrape,oil
897,102,4,pull,oil
897,103,4,form,oil
897,104,11,spray,oil
897,105,11,spray,oil
897,106,11,spray,oil
897,107,11,spray,oil
897,108,15,press,oil
897,109,18,use,flour
897,110,18,shape,flour
897,111,18,use,flour
897,112,18,rotate,flour
897,113,18,strech,flour
897,114,18,reach,flour
1210,115,1,rim,pizza
1210,116,1,rim,dough
1210,117,2,use,pizza
1210,118,2,use,dough
1210,119,7,combine,alfredo
1210,120,7,spread,alfredo
1210,121,7,combine,pizza
1210,122,7,spread,pizza
1210,123,7,combine,sauce
1210,124,7,spread,sauce
1210,125,7,combine,pizza
1210,126,7,spread,pizza
1210,127,8,use,basil
1210,128,8,use,sauce
1210,129,9,spread,pizza
1210,130,9,spread,pepper
1210,131,10,distribute,cheese
1255,132,1,place,quinoa
1255,133,1,add,quinoa
1255,134,1,bring,quinoa
1255,135,1,place,water
1255,136,1,add,water
1255,137,1,bring,water
1255,138,3,cover,quinoa
1255,139,3,simmer,quinoa
1255,140,4,let,quinoa
1255,141,4,absorb,quinoa
1255,142,4,leave,quinoa
1255,143,4,cook,quinoa
1255,144,4,let,water
1255,145,4,absorb,water
1255,146,4,leave,water
1255,147,4,cook,water
1255,148,4,let,quinoa
1255,149,4,absorb,quinoa
1255,150,4,leave,quinoa
1255,151,4,cook,quinoa
1255,152,5,combine,quinoa
1255,153,5,combine,oil
1255,154,5,combine,flour
