case_id,event_id,order,activity,ingredient
142,0,0.0,make,ground
142,1,0.0,crumble,ground
142,2,0.0,make,beef
142,3,0.0,crumble,beef
142,4,0.0,make,ground
142,5,0.0,crumble,ground
142,6,0.0,make,pork
142,7,0.0,crumble,pork
142,8,6.875,remove,ground
142,9,6.875,drain,ground
142,10,13.75,add,water
142,11,13.75,add,cornstarch
142,12,17.1875,whisk,cornstarch
142,13,17.1875,add,cornstarch
142,14,17.1875,dissolve,cornstarch
142,15,17.1875,whisk,water
142,16,17.1875,add,water
142,17,17.1875,dissolve,water
142,18,20.625,add,wondra
142,19,20.625,whisk,wondra
142,20,20.625,dissolve,wondra
142,21,20.625,add,flour
142,22,20.625,whisk,flour
142,23,20.625,dissolve,flour
142,24,20.625,add,water
142,25,20.625,whisk,water
142,26,20.625,dissolve,water
142,27,24.0625,add,water
142,28,34.375,begin,chili
142,29,34.375,boil,chili
142,30,34.375,reduce,chili
142,31,34.375,simmer,chili
142,32,34.375,uncover,chili
142,33,37.8125,use,chili
142,34,41.25,make,flour
142,35,41.25,find,flour
142,36,44.6875,use,chili
3701,37,0.0,dip,almond
3701,38,0.0,combine,almond
3701,39,0.0,press,almond
3701,40,0.0,dip,chicken
3701,41,0.0,combine,chicken
3701,42,0.0,press,chicken
3701,43,0.0,dip,chicken
3701,44,0.0,combine,chicken
3701,45,0.0,press,chicken
3701,46,0.0,dip,flour
3701,47,0.0,combine,flour
3701,48,0.0,press,flour
3701,49,0.0,dip,egg
3701,50,0.0,combine,egg
3701,51,0.0,press,egg
3701,52,0.0,dip,breadcrumb
3701,53,0.0,combine,breadcrumb
3701,54,0.0,press,breadcrumb
3701,55,0.0,dip,almond
3701,56,0.0,combine,almond
3701,57,0.0,press,almond
3701,58,4.166666666666667,pour,oil
3701,59,8.333333333333334,cook,oil
3701,60,8.333333333333334,reduce,oil
3701,61,8.333333333333334,drain,oil
3701,62,8.333333333333334,serve,oil
3701,63,8.333333333333334,cook,chicken
3701,64,8.333333333333334,reduce,chicken
