case_id,event_id,order,activity,ingredient
7,0,1,rub,sauce
7,1,1,rub,garlic
7,2,1,rub,ginger
7,3,1,rub,chili
7,4,1,rub,powder
7,5,1,rub,pepper
7,6,1,rub,salt
7,7,1,rub,cilantro
7,8,9,offer,sauce
23,9,0,use,flour
23,10,0,use,sugar
23,11,0,use,powder
23,12,0,use,salt
23,13,1,make,flour
23,14,1,pour,flour
23,15,1,make,milk
23,16,1,pour,milk
23,17,1,make,vanilla
23,18,1,pour,vanilla
23,19,1,make,egg
23,20,1,pour,egg
23,21,1,make,oil
23,22,1,pour,oil
23,23,3,use,vegetable
23,24,3,use,oil
23,25,4,start,oil
23,26,4,ripple,oil
23,27,6,use,butter
23,28,6,use,bread
23,29,7,sprinkle,sugar
23,30,7,sprinkle,cinnamon
23,31,7,sprinkle,bread
23,32,8,make,bread
23,33,8,place,bread
23,34,8,make,sugar
23,35,8,place,sugar
23,36,10,test,oil
23,37,10,drop,oil
23,38,12,need,oil
23,39,12,melt,oil
23,40,12,scorch,oil
23,41,12,need,sugar
23,42,12,melt,sugar
23,43,12,scorch,sugar
23,44,14,use,oil
23,45,14,place,oil
23,46,16,try,oil
23,47,16,avoid,oil
23,48,16,splatter,oil
23,49,17,remove,oil
23,50,19,sprinkle,sugar
23,51,19,serve,sugar
84,52,0,spread,bread
84,53,2,lay,bread
103,54,2,beat,sugar
103,55,2,beat,butter
103,56,3,add,flour
103,57,4,press,flour
103,58,5,sprinkle,flour
103,59,6,mix,butter
103,60,6,bring,butter
103,61,6,mix,sugar
103,62,6,bring,sugar
103,63,11,melt,chocolate
103,64,11,stir,chocolate
103,65,12,remove,chocolate
103,66,12,stir,chocolate
103,67,12,smooth,chocolate
103,68,12,spread,chocolate
103,69,13,remove,chocolate
119,70,1,grease,butter
119,71,1,dust,butter
119,72,1,set,butter
119,73,1,grease,flour
119,74,1,dust,flour
119,75,1,set,flour
119,76,2,cream,butter
119,77,2,add,butter
119,78,2,beat,butter
119,79,2,cream,sugar
119,80,2,add,sugar
119,81,2,beat,sugar
119,82,3,add,flour
119,83,3,stir,flour
119,84,3,add,milk
119,85,3,stir,milk
119,86,4,add,extract
119,87,4,stir,extract
119,88,4,blend,extract
123,89,0,mix,mix
123,90,0,blend,mix
123,91,2,cool,mix
123,92,2,mix,mix
123,93,2,fill,mix
123,94,2,spread,mix
123,95,3,serve,pudding
144,96,3,sift,flour
144,97,3,sift,sugar
144,98,3,sift,powder
144,99,3,sift,soda
144,100,3,sift,salt
144,101,4,whisk,butter
144,102,4,whisk,cream
144,103,4,whisk,egg
144,104,4,whisk,vanilla
144,105,5,stir,butter
144,106,5,stir,flour
145,107,5,use,ice
145,108,5,use,cream
177,109,2,worry,vanilla
177,110,2,get,vanilla
177,111,2,blend,vanilla
177,112,2,worry,bean
177,113,2,get,bean
177,114,2,blend,bean
207,115,4,dissolve,cocoa
207,116,4,dissolve,espresso
207,117,5,stir,buttermilk
207,118,5,set,buttermilk
207,119,5,cool,buttermilk
207,120,5,stir,cocoa
207,121,5,set,cocoa
207,122,5,cool,cocoa
207,123,6,whisk,flour
207,124,6,whisk,soda
207,125,6,whisk,salt
207,126,7,beat,butter
207,127,7,add,butter
207,128,7,beat,sugar
207,129,7,add,sugar
207,130,8,use,butter
207,131,8,use,light
207,132,9,add,vanilla
207,133,9,continue,vanilla
207,134,9,beat,vanilla
207,135,9,add,butter
207,136,9,continue,butter
207,137,9,beat,butter
207,138,11,fold,flour
207,139,11,alternate,flour
207,140,11,fold,cocoa
207,141,11,alternate,cocoa
207,142,11,fold,butter
207,143,11,alternate,butter
207,144,11,fold,flour
207,145,11,alternate,flour
207,146,11,fold,cocoa
207,147,11,alternate,cocoa
207,148,11,fold,flour
207,149,11,alternate,flour
207,150,12,use,cocoa
207,151,13,use,flour
207,152,14,use,cocoa
207,153,15,use,flour
207,154,21,make,peanut
207,155,21,beat,peanut
207,156,21,make,butter
207,157,21,beat,butter
207,158,21,make,butter
207,159,21,beat,butter
207,160,22,add,sugar
207,161,29,make,butter
207,162,29,chop,butter
207,163,29,scatter,butter
207,164,29,make,chocolate
207,165,29,chop,chocolate
207,166,29,scatter,chocolate
207,167,30,heat,cream
207,168,30,heat,corn
207,169,30,heat,syrup
207,170,31,begin,cream
207,171,31,boil,cream
207,172,31,pour,cream
207,173,31,begin,cream
207,174,31,stir,cream
207,175,31,begin,chocolate
207,176,31,boil,chocolate
207,177,31,pour,chocolate
207,178,31,begin,chocolate
207,179,31,stir,chocolate
207,180,32,melt,chocolate
207,181,32,combine,chocolate
207,182,32,stir,chocolate
207,183,32,melt,cream
207,184,32,combine,cream
207,185,32,stir,cream
207,186,32,melt,vanilla
207,187,32,combine,vanilla
207,188,32,stir,vanilla
207,189,34,pack,peanut
207,190,34,cover,peanut
207,191,34,leave,peanut
207,192,34,expose,peanut
207,193,34,pack,chocolate
207,194,34,cover,chocolate
207,195,34,leave,chocolate
207,196,34,expose,chocolate
207,197,36,serve,honey
207,198,36,like,honey
207,199,36,reserve,honey
207,200,36,roast,honey
207,201,36,decorate,honey
207,202,36,serve,peanut
207,203,36,like,peanut
207,204,36,reserve,peanut
207,205,36,roast,peanut
207,206,36,decorate,peanut
207,207,38,set,peanut
207,208,38,form,peanut
258,209,0,use,sugar
258,210,0,use,flour
258,211,0,use,milk
258,212,1,grease,butter
279,213,0,use,cracker
279,214,1,mix,splenda
279,215,2,stir,butter
279,216,2,mix,butter
279,217,6,beat,cream
279,218,6,start,cream
279,219,6,look,cream
279,220,6,add,cream
279,221,6,beat,splenda
279,222,6,start,splenda
279,223,6,look,splenda
279,224,6,add,splenda
279,225,6,beat,vanilla
279,226,6,start,vanilla
279,227,6,look,vanilla
279,228,6,add,vanilla
279,229,6,beat,extract
279,230,6,start,extract
279,231,6,look,extract
279,232,6,add,extract
279,233,13,take,cream
279,234,13,fill,cream
279,235,14,set,cream
279,236,24,serve,cream
279,237,24,decorate,cream
300,238,0,use,butter
300,239,0,use,sugar
300,240,1,add,egg
300,241,1,mix,egg
300,242,1,add,vanilla
