case_id,event_id,order,activity,ingredient
240,0,0.0,whisk,vinegar
240,1,0.0,whisk,maple
240,2,0.0,whisk,syrup
240,3,0.0,whisk,sauce
240,4,0.0,whisk,sesame
240,5,0.0,whisk,oil
240,6,0.0,whisk,gingerroot
240,7,20.0,combine,cabbage
240,8,20.0,combine,onion
240,9,20.0,combine,carrot
240,10,20.0,combine,apple
451,11,0.0,mix,mix
451,12,8.0,combine,coleslaw
451,13,12.0,pour,coleslaw
451,14,12.0,dress,coleslaw
451,15,12.0,toss,coleslaw
451,16,12.0,combine,coleslaw
451,17,12.0,pour,mix
451,18,12.0,dress,mix
451,19,12.0,toss,mix
451,20,12.0,combine,mix
1016,21,0.0,prepare,cabbage
1016,22,0.0,shred,cabbage
1016,23,0.0,crisp,cabbage
1016,24,1.25,dry,cabbage
1016,25,1.25,crisp,cabbage
1016,26,2.5,combine,apple
1016,27,2.5,use,apple
1016,28,2.5,add,apple
1016,29,5.0,prefer,apple
1016,30,5.0,omit,apple
1016,31,5.0,omit,apple
1016,32,5.0,crisp,apple
1016,33,5.0,shred,apple
1016,34,5.0,boil,apple
1016,35,5.0,prefer,cabbage
1016,36,5.0,omit,cabbage
1016,37,5.0,omit,cabbage
1016,38,5.0,crisp,cabbage
1016,39,5.0,shred,cabbage
1016,40,5.0,boil,cabbage
1016,41,5.0,prefer,cabbage
1016,42,5.0,omit,cabbage
1016,43,5.0,omit,cabbage
1016,44,5.0,crisp,cabbage
1016,45,5.0,shred,cabbage
1016,46,5.0,boil,cabbage
1016,47,6.25,serve,cabbage
1016,48,7.5,prepare,egg
1016,49,7.5,prepare,yolk
1016,50,7.5,prepare,sugar
1016,51,7.5,prepare,butter
1016,52,7.5,prepare,salt
1016,53,7.5,prepare,cream
1016,54,7.5,prepare,milk
1016,55,7.5,prepare,vinegar
1016,56,7.5,prepare,cayenne
1016,57,7.5,prepare,pepper
1016,58,10.0,beat,egg
1016,59,10.0,fold,egg
1016,60,10.0,beat,white
1016,61,10.0,fold,white
1016,62,12.5,prepare,mustard
1016,63,12.5,prepare,salt
1016,64,12.5,prepare,sugar
1016,65,12.5,prepare,flour
1016,66,12.5,prepare,paprika
1016,67,12.5,prepare,cayenne
1016,68,12.5,prepare,pepper
1016,69,13.75,add,egg
1016,70,13.75,mix,egg
1016,71,15.0,add,milk
1016,72,15.0,add,vinegar
1016,73,17.5,add,butter
1443,74,0.0,soak,onion
1443,75,0.0,soften,onion
1443,76,0.0,soak,vinegar
1443,77,0.0,soften,vinegar
1443,78,0.0,soak,salt
1443,79,0.0,soften,salt
1443,80,0.0,soak,onion
1443,81,0.0,soften,onion
1443,82,2.0,stir,mayonnaise
1443,83,4.0,add,coleslaw
1443,84,4.0,add,mix
1709,85,0.0,combine,cabbage
1709,86,0.0,combine,onion
1709,87,0.0,combine,carrot
4079,88,0.0,use,cabbage
4079,89,0.0,use,carrot
4079,90,0.0,use,onion
4079,91,54.0,combine,sugar
4079,92,54.0,combine,salt
4079,93,54.0,combine,pepper
4079,94,54.0,combine,mayonnaise
4079,95,54.0,combine,milk
4079,96,54.0,combine,buttermilk
4079,97,54.0,combine,tarragon
4079,98,54.0,combine,vinegar
4079,99,108.0,pour,cabbage
4966,100,0.0,beat,egg
4966,101,1.5,add,sugar
4966,102,1.5,add,flour
4966,103,1.5,add,salt
4966,104,1.5,add,mustard
4966,105,3.0,combine,vinegar
4966,106,3.0,beat,vinegar
4966,107,3.0,add,vinegar
4966,108,3.0,combine,water
4966,109,3.0,beat,water
4966,110,3.0,add,water
4966,111,3.0,combine,egg
4966,112,3.0,beat,egg
4966,113,3.0,add,egg
4966,114,3.0,combine,butter
4966,115,3.0,beat,butter
4966,116,3.0,add,butter
4966,117,7.5,remove,cream
4966,118,7.5,beat,cream
5513,119,0.0,add,cabbage
5513,120,0.0,add,carrot
5513,121,0.0,add,celery
5513,122,0.0,add,onion
5513,123,2.142857142857143,sprinkle,sugar
5513,124,2.142857142857143,toss,sugar
5513,125,2.142857142857143,mix,sugar
5513,126,4.285714285714286,combine,vinegar
5513,127,4.285714285714286,combine,oil
5513,128,4.285714285714286,combine,salt
5513,129,4.285714285714286,combine,mustard
5513,130,4.285714285714286,combine,pepper
5513,131,8.571428571428571,pour,cabbage
5513,132,8.571428571428571,mix,cabbage
5835,133,0.0,combine,mayonnaise
5835,134,0.0,combine,pineapple
5835,135,0.0,combine,milk
5835,136,0.0,combine,ketchup
5835,137,0.0,combine,sugar
5835,138,0.0,combine,poppy
5835,139,0.0,combine,seed
5835,140,0.0,combine,sauce
5835,141,36.25,place,coleslaw
5835,142,36.25,place,mix
6368,143,0.0,combine,cabbage
6368,144,0.0,combine,apple
6368,145,0.0,combine,celery
6368,146,0.0,combine,onion
6368,147,7.5,toss,pineapple
6595,148,0.0,sprinkle,apple
6595,149,0.0,sprinkle,lemon
6595,150,0.0,sprinkle,juice
6595,151,0.0,mix,cabbage
6595,152,0.0,mix,celery
6595,153,0.0,mix,carrot
6595,154,0.0,mix,onion
6595,155,0.0,combine,cream
6595,156,0.0,combine,mayonnaise
6595,157,0.0,combine,celery
6595,158,0.0,combine,salt
6595,159,0.0,toss,apple
6595,160,0.0,serve,apple
6595,161,0.0,keep,lemon
6595,162,0.0,keep,juice
