case_id,event_id,order,activity,ingredient
68,0,0.0,sprinkle,gelatin
68,1,0.0,sprinkle,milk
68,2,33.75,add,milk
68,3,33.75,dissolve,milk
68,4,50.625,add,cream
68,5,50.625,blend,cream
68,6,50.625,add,cheese
68,7,50.625,blend,cheese
68,8,50.625,add,sugar
68,9,50.625,blend,sugar
68,10,50.625,add,vanilla
68,11,50.625,blend,vanilla
68,12,67.5,arrange,chocolate
68,13,67.5,arrange,chip
68,14,67.5,arrange,crust
68,15,84.375,pour,gelatin
68,16,101.25,sprinkle,cooky
96,17,7.5,combine,cookie
96,18,7.5,press,cookie
96,19,7.5,combine,crumb
96,20,7.5,press,crumb
96,21,7.5,combine,butter
96,22,7.5,press,butter
96,23,15.0,beat,cream
96,24,15.0,beat,cheese
96,25,15.0,beat,milk
96,26,15.0,beat,egg
96,27,15.0,beat,vanilla
96,28,22.5,stir,chocolate
96,29,22.5,stir,chip
96,30,22.5,stir,flour
96,31,37.5,sprinkle,chip
96,32,52.5,top,cream
96,33,60.0,pour,sugar
96,34,60.0,cook,sugar
96,35,67.5,use,chocolate
96,36,75.0,decorate,cream
96,37,75.0,serve,cream
149,38,10.0,put,almond
149,39,15.0,add,vanilla
149,40,15.0,add,protein
149,41,15.0,add,powder
149,42,20.0,add,butter
149,43,25.0,add,cinnamon
149,44,25.0,add,nutmeg
149,45,30.0,add,splenda
149,46,65.0,put,cream
149,47,65.0,put,cheese
149,48,70.0,beat,splenda
149,49,70.0,mix,splenda
149,50,70.0,beat,cream
149,51,70.0,mix,cream
149,52,75.0,beat,vanilla
149,53,80.0,beat,egg
158,54,5.0,melt,margarine
158,55,5.0,blend,margarine
158,56,5.0,melt,graham
158,57,5.0,blend,graham
158,58,5.0,melt,cracker
158,59,5.0,blend,cracker
158,60,30.0,mash,tofu
158,61,30.0,mash,vegan
158,62,30.0,mash,cream
158,63,30.0,mash,cheese
158,64,35.0,add,tofu
158,65,35.0,blend,tofu
158,66,40.0,try,tofu
158,67,40.0,get,tofu
158,68,40.0,lump,tofu
158,69,70.0,drain,tofu
190,70,0.0,accord,pudding
190,71,10.0,add,whip
190,72,10.0,mix,whip
190,73,10.0,add,vanilla
190,74,10.0,mix,vanilla
190,75,10.0,add,pudding
190,76,10.0,mix,pudding
190,77,10.0,add,mix
190,78,10.0,mix,mix
190,79,15.0,line,graham
190,80,20.0,add,pudding
190,81,20.0,add,graham
190,82,25.0,continue,pudding
190,83,25.0,end,pudding
190,84,30.0,spread,blueberry
190,85,30.0,fill,blueberry
190,86,30.0,spread,pie
190,87,30.0,fill,pie
190,88,35.0,sprinkle,graham
262,89,6.0,cut,butter
262,90,9.0,add,egg
262,91,9.0,add,yolk
262,92,9.0,add,vanilla
262,93,24.0,attach,butter
262,94,24.0,pat,butter
262,95,33.0,beat,cream
262,96,33.0,beat,cheese
262,97,36.0,add,vanilla
262,98,39.0,mix,cheese
262,99,39.0,blend,cheese
262,100,42.0,add,egg
262,101,42.0,yolk,egg
262,102,42.0,beat,egg
262,103,42.0,blend,egg
262,104,42.0,add,egg
262,105,42.0,yolk,egg
262,106,42.0,beat,egg
262,107,42.0,blend,egg
262,108,42.0,add,yolk
262,109,42.0,yolk,yolk
262,110,42.0,beat,yolk
262,111,42.0,blend,yolk
262,112,45.0,stir,cream
262,113,45.0,whip,cream
279,114,0.0,use,cracker
279,115,0.0,use,crumb
279,116,2.962962962962963,mix,crumb
279,117,2.962962962962963,mix,splenda
279,118,2.962962962962963,mix,almond
279,119,5.925925925925926,stir,butter
279,120,5.925925925925926,mix,butter
279,121,17.777777777777775,beat,cream
279,122,17.777777777777775,start,cream
279,123,17.777777777777775,look,cream
279,124,17.777777777777775,add,cream
279,125,17.777777777777775,beat,splenda
279,126,17.777777777777775,start,splenda
279,127,17.777777777777775,look,splenda
279,128,17.777777777777775,add,splenda
279,129,17.777777777777775,beat,vanilla
279,130,17.777777777777775,start,vanilla
279,131,17.777777777777775,look,vanilla
279,132,17.777777777777775,add,vanilla
279,133,17.777777777777775,beat,extract
279,134,17.777777777777775,start,extract
279,135,17.777777777777775,look,extract
279,136,17.777777777777775,add,extract
279,137,38.51851851851851,take,cream
279,138,38.51851851851851,fill,cream
279,139,41.481481481481474,set,cream
279,140,71.1111111111111,serve,cream
279,141,71.1111111111111,decorate,cream
410,142,3.4722222222222223,prepare,chocolate
410,143,3.4722222222222223,prepare,crumb
410,144,6.944444444444445,stir,vanilla
410,145,6.944444444444445,stir,wafer
410,146,6.944444444444445,stir,crumb
410,147,6.944444444444445,stir,sugar
410,148,6.944444444444445,stir,cocoa
410,149,10.416666666666668,stir,butter
410,150,10.416666666666668,melt,butter
410,151,27.777777777777775,beat,cream
410,152,27.777777777777775,beat,cheese
410,153,27.777777777777775,beat,sugar
410,154,31.249999999999996,add,egg
410,155,31.249999999999996,add,cream
410,156,31.249999999999996,add,flour
410,157,31.249999999999996,add,vanilla
410,158,31.249999999999996,add,salt
410,159,38.19444444444444,stir,butterscotch
410,160,38.19444444444444,batter,butterscotch
410,161,38.19444444444444,stir,chip
410,162,38.19444444444444,batter,chip
410,163,41.666666666666664,melt,chip
410,164,41.666666666666664,melt,chip
410,165,52.08333333333333,stir,chip
410,166,52.08333333333333,melt,chip
410,167,52.08333333333333,stir,chip
410,168,55.55555555555555,pour,butterscotch
410,169,59.02777777777777,stir,chocolate
410,170,59.02777777777777,batter,chocolate
410,171,59.02777777777777,stir,chip
410,172,59.02777777777777,batter,chip
410,173,62.49999999999999,pour,butterscotch
410,174,65.97222222222221,stir,chip
410,175,72.91666666666667,pour,chocolate
410,176,93.75000000000004,shorten,butterscotch
410,177,93.75000000000004,shorten,chip
410,178,104.16666666666673,stir,chip
410,179,104.16666666666673,melt,chip
410,180,104.16666666666673,stir,chip
410,181,107.63888888888896,repeat,chip
419,182,11.923076923076923,combine,graham
419,183,11.923076923076923,combine,cracker
419,184,11.923076923076923,combine,crumb
419,185,11.923076923076923,combine,maple
419,186,11.923076923076923,combine,syrup
419,187,11.923076923076923,combine,almond
419,188,11.923076923076923,combine,extract
419,189,23.846153846153847,mix,graham
419,190,23.846153846153847,moisten,graham
419,191,23.846153846153847,mix,cracker
419,192,23.846153846153847,moisten,cracker
419,193,23.846153846153847,mix,crumb
419,194,23.846153846153847,moisten,crumb
419,195,143.07692307692307,release,almond
419,196,143.07692307692307,sprinkle,almond
419,197,143.07692307692307,serve,almond
485,198,21.0,use,butter
485,199,31.5,make,graham
485,200,31.5,put,graham
485,201,31.5,mix,graham
485,202,31.5,make,cracker
485,203,31.5,put,cracker
485,204,31.5,mix,cracker
485,205,31.5,make,crumb
485,206,31.5,put,crumb
485,207,31.5,mix,crumb
485,208,31.5,make,sugar
485,209,31.5,put,sugar
485,210,31.5,mix,sugar
485,211,31.5,make,butter
485,212,31.5,put,butter
485,213,31.5,mix,butter
485,214,84.0,mix,cheese
485,215,84.0,mix,sugar
485,216,84.0,mix,egg
485,217,84.0,mix,lemon
485,218,84.0,mix,juice
485,219,84.0,mix,vanilla
485,220,94.5,add,cornstarch
485,221,94.5,add,flour
485,222,94.5,add,butter
485,223,115.5,blend,cream
485,224,115.5,mix,cream
552,225,17.22222222222222,beat,cream
552,226,17.22222222222222,beat,cheese
552,227,34.44444444444444,mix,sugar
552,228,34.44444444444444,continue,sugar
552,229,34.44444444444444,beat,sugar
552,230,34.44444444444444,mix,flour
552,231,34.44444444444444,continue,flour
552,232,34.44444444444444,beat,flour
552,233,51.666666666666664,add,zests
552,234,51.666666666666664,mix,zests
552,235,51.666666666666664,add,yolk
552,236,51.666666666666664,mix,yolk
552,237,51.666666666666664,add,egg
552,238,51.666666666666664,mix,egg
552,239,68.88888888888889,stir,cream
552,240,68.88888888888889,mix,cream
552,241,68.88888888888889,blend,cream
955,242,0.0,use,cream
955,243,0.0,use,cheese
955,244,0.0,use,cream
955,245,6.25,pour,crust
955,246,6.25,fill,crust
955,247,6.25,smooth,crust
960,248,2.0,use,sugar
960,249,2.0,use,crumb
960,250,2.0,use,butter
960,251,6.0,use,cream
960,252,6.0,use,cheese
960,253,8.0,blend,milk
960,254,10.0,add,milk
960,255,10.0,add,pudding
1092,256,0.0,combine,crumb
1092,257,0.0,combine,butter
1092,258,0.0,combine,sugar
1092,259,1.9090909090909092,pack,crumb
1092,260,6.363636363636364,cover,cream
1100,261,0.0,beat,cream
1100,262,0.0,beat,cheese
1100,263,0.0,beat,pumpkin
1100,264,0.0,beat,sugar
1100,265,0.0,beat,pumpkin
1100,266,0.0,beat,pie
1100,267,0.0,beat,spice
1100,268,10.0,use,crust
1127,269,8.076923076923077,mix,cracker
1127,270,8.076923076923077,mix,crumb
1127,271,8.076923076923077,mix,sugar
1127,272,16.153846153846153,stir,butter
1127,273,16.153846153846153,stir,cinnamon
1127,274,16.153846153846153,stir,crumb
1127,275,56.53846153846155,use,cream
1127,276,56.53846153846155,use,sugar
1127,277,56.53846153846155,use,cream
1127,278,56.53846153846155,use,cheese
1234,279,27.692307692307693,use,cream
1234,280,27.692307692307693,use,ricotta
1234,281,27.692307692307693,use,cheese
