case_id,event_id,order,activity,ingredient
2034,0,0.0,make,rum
2034,1,0.0,stir,rum
2034,2,0.0,make,lime
2034,3,0.0,stir,lime
2034,4,0.0,make,juice
2034,5,0.0,stir,juice
2034,6,3.3333333333333335,add,ice
2034,7,5.0,make,sugar
2034,8,5.0,mix,sugar
2034,9,5.0,make,water
2034,10,5.0,mix,water
2034,11,6.666666666666667,let,sugar
2034,12,6.666666666666667,dissolve,sugar
2034,13,6.666666666666667,look,sugar
2034,14,14.999999999999998,serve,lime
2034,15,14.999999999999998,serve,lime
2034,16,14.999999999999998,squeeze,lime
2034,17,14.999999999999998,serve,wedge
2034,18,14.999999999999998,serve,wedge
2034,19,14.999999999999998,squeeze,wedge
2034,20,14.999999999999998,serve,ice
2034,21,14.999999999999998,serve,ice
2034,22,14.999999999999998,squeeze,ice
2034,23,16.666666666666664,drop,lime
2034,24,16.666666666666664,drop,wedge
2034,25,18.333333333333332,fill,club
2034,26,18.333333333333332,fill,soda
9378,27,0.0,muddle,lime
9378,28,0.0,muddle,sugar
9378,29,1.25,add,apple
9378,30,1.25,shake,apple
9378,31,1.25,add,limon
9378,32,1.25,shake,limon
9378,33,1.25,add,pineapple
9378,34,1.25,shake,pineapple
9378,35,1.25,add,juice
9378,36,1.25,shake,juice
9378,37,1.25,add,ice
9378,38,1.25,shake,ice
9378,39,2.5,pour,club
9378,40,2.5,pour,soda
12110,41,0.0,leave,syrup
12110,42,2.5,add,peach
12110,43,2.5,add,rum
12110,44,2.5,add,lime
12110,45,2.5,add,juice
12110,46,2.5,add,mix
12110,47,7.5,serve,peach
16681,48,0.0,peel,banana
16681,49,0.0,place,banana
16681,50,0.0,peel,rum
16681,51,0.0,place,rum
16681,52,0.0,peel,lime
16681,53,0.0,place,lime
16681,54,0.0,peel,juice
16681,55,0.0,place,juice
16681,56,0.0,peel,sugar
16681,57,0.0,place,sugar
16681,58,0.0,peel,ice
16681,59,0.0,place,ice
16681,60,2.0,add,club
16681,61,2.0,mix,club
16681,62,2.0,add,soda
16681,63,2.0,mix,soda
16681,64,4.0,garnish,sprig
18418,65,0.0,coat,mint
18418,66,0.7142857142857143,add,sugar
18418,67,0.7142857142857143,stir,sugar
18418,68,0.7142857142857143,add,juice
18418,69,0.7142857142857143,stir,juice
18418,70,2.142857142857143,add,rum
18418,71,2.857142857142857,top,club
18418,72,2.857142857142857,top,soda
18418,73,3.5714285714285716,add,lemon
18418,74,3.5714285714285716,add,mint
18714,75,0.0,use,limon
18714,76,0.0,use,basil
18714,77,0.0,use,lime
18714,78,0.0,use,lemon
18714,79,0.0,use,sugar
18714,80,3.3333333333333335,garnish,basil
18714,81,3.3333333333333335,garnish,leaf
19040,82,0.0,use,pineapple
21289,83,0.0,cut,peppermint
21289,84,0.0,put,peppermint
21289,85,0.8333333333333334,add,sugar
21289,86,0.8333333333333334,add,lemon
21289,87,0.8333333333333334,add,juice
21289,88,1.6666666666666667,grind,peppermint
21289,89,1.6666666666666667,crush,peppermint
21289,90,1.6666666666666667,dissolve,peppermint
21289,91,1.6666666666666667,grind,sugar
21289,92,1.6666666666666667,crush,sugar
21289,93,1.6666666666666667,dissolve,sugar
21289,94,3.3333333333333335,put,beer
21289,95,3.3333333333333335,add,beer
21289,96,4.166666666666667,produce,beer
21289,97,5.0,put,water
21289,98,5.0,add,water
21289,99,5.0,put,beer
21289,100,5.0,add,beer
21289,101,5.833333333333333,garnish,peppermint
21289,102,5.833333333333333,garnish,lemon
21289,103,5.833333333333333,garnish,wedge
21289,104,9.166666666666666,serve,beer
23345,105,0.0,crush,lime
23345,106,0.0,crush,juice
23345,107,1.25,cover,syrup
23345,108,1.25,fill,syrup
23345,109,2.5,add,rum
23345,110,2.5,stir,rum
23345,111,2.5,add,lime
23345,112,2.5,stir,lime
24031,113,0.0,use,blackberry
24031,114,0.0,use,lime
24031,115,0.0,use,juice
24031,116,0.0,use,sugar
24031,117,0.6666666666666666,add,rum
24031,118,0.6666666666666666,mix,rum
24031,119,0.6666666666666666,add,curacao
24031,120,0.6666666666666666,mix,curacao
24031,121,2.0,add,club
24031,122,2.0,stir,club
24031,123,2.0,add,soda
24031,124,2.0,stir,soda
24031,125,2.6666666666666665,garnish,blackberry
24031,126,2.6666666666666665,garnish,lime
24464,127,0.0,add,cherry
24464,128,0.0,add,rum
24464,129,0.0,add,ice
24464,130,1.0,add,cherry
24464,131,1.0,add,mojito
24464,132,1.0,add,mix
24875,133,0.0,combine,blackberry
24875,134,0.0,combine,lime
24875,135,0.0,combine,mint
24875,136,0.0,combine,sugar
24875,137,0.0,combine,water
24875,138,3.0,mix,water
24875,139,3.0,set,water
24875,140,3.0,mix,cornstarch
24875,141,3.0,set,cornstarch
24875,142,9.0,begin,blackberry
24875,143,9.0,pop,blackberry
24875,144,9.0,remove,blackberry
24875,145,9.0,begin,mint
24875,146,9.0,pop,mint
24875,147,9.0,remove,mint
24875,148,12.0,stir,cornstarch
24875,149,12.0,add,cornstarch
24875,150,12.0,stir,blackberry
24875,151,12.0,add,blackberry
24888,152,0.0,put,sugar
24888,153,0.0,dissolve,sugar
24888,154,0.0,put,water
24888,155,0.0,dissolve,water
24888,156,0.0,put,sugar
24888,157,0.0,dissolve,sugar
24888,158,0.625,use,blackberry
24888,159,0.625,use,pineapple
24888,160,1.25,add,lime
24888,161,1.25,add,juice
24888,162,1.25,add,rum
24888,163,3.125,add,seltzer
24888,164,4.375,garnish,lime
25211,165,0.0,combine,sugar
25211,166,0.0,combine,lemon
25211,167,0.0,combine,juice
25211,168,0.8,mix,rum
25211,169,0.8,mix,blood
25211,170,0.8,mix,orange
25211,171,0.8,mix,juice
25211,172,1.6,use,ale
26145,173,0.0,use,blueberry
26145,174,0.0,use,syrup
26145,175,1.25,add,rum
26145,176,1.25,shake,rum
26145,177,1.25,add,lime
26145,178,1.25,shake,lime
26145,179,1.25,add,juice
26145,180,1.25,shake,juice
26145,181,2.5,fill,club
26145,182,2.5,fill,soda
26145,183,3.75,add,club
26145,184,3.75,like,club
26145,185,3.75,add,soda
26145,186,3.75,like,soda
26149,187,0.0,use,lime
26149,188,0.0,use,juice
26149,189,0.0,use,sugar
26149,190,1.1111111111111112,add,blueberry
26149,191,3.3333333333333335,add,lemonade
26149,192,4.444444444444445,add,soda
26149,193,4.444444444444445,add,light
26149,194,4.444444444444445,add,rum
26149,195,4.444444444444445,add,blueberry
26149,196,6.666666666666666,pour,rum
26149,197,6.666666666666666,float,rum
26149,198,7.777777777777777,garnish,sprig
26149,199,7.777777777777777,garnish,slice
26149,200,7.777777777777777,garnish,lime
27161,201,0.0,combine,onion
27161,202,0.0,combine,clove
27161,203,0.0,combine,garlic
27161,204,0.0,combine,mint
27161,205,0.0,combine,lime
27161,206,0.0,combine,juice
27161,207,0.0,combine,salt
27161,208,0.0,combine,pepper
27161,209,122.5,add,shrimp
27161,210,122.5,toss,shrimp
27161,211,122.5,cover,shrimp
27161,212,122.5,refrigerate,shrimp
27161,213,122.5,toss,shrimp
27161,214,122.5,add,shrimp
27161,215,122.5,toss,shrimp
27161,216,122.5,cover,shrimp
27161,217,122.5,refrigerate,shrimp
27161,218,122.5,toss,shrimp
27161,219,245.0,cut,garlic
27161,220,245.0,rub,garlic
27161,221,245.0,cut,clove
27161,222,245.0,rub,clove
27161,223,245.0,cut,garlic
27161,224,245.0,rub,garlic
27161,225,490.0,serve,shrimp
27161,226,490.0,tail,shrimp
27161,227,612.5,drizzle,oil
27161,228,612.5,drizzle,mint
28008,229,0.0,use,lime
28008,230,0.0,use,sprig
28008,231,0.0,use,sugar
28008,232,1.0,add,cachaca
28008,233,1.5,fill,club
28008,234,1.5,fill,soda
34612,235,0.0,combine,blueberry
34612,236,0.0,combine,lime
34612,237,0.0,combine,juice
34612,238,1.4285714285714286,add,lemonade
34612,239,1.4285714285714286,add,rye
34612,240,4.285714285714286,add,soda
34612,241,4.285714285714286,add,water
38375,242,0.0,dissolve,sugar
38375,243,0.0,dissolve,lime
38375,244,0.0,dissolve,wedge
38375,245,0.0,dissolve,lime
38375,246,0.0,dissolve,juice
38375,247,0.0,dissolve,sugar
38375,248,0.6666666666666666,use,champagne
38375,249,1.3333333333333333,add,champagne
38376,250,0.0,combine,sugar
38376,251,0.0,dissolve,sugar
38376,252,0.0,combine,water
38376,253,0.0,dissolve,water
38376,254,0.0,combine,sugar
38376,255,0.0,dissolve,sugar
38376,256,3.3333333333333335,combine,sugar
38376,257,3.3333333333333335,muddle,sugar
38376,258,3.3333333333333335,combine,lime
38376,259,3.3333333333333335,muddle,lime
38376,260,5.0,add,rum
38376,261,5.0,stir,rum
