case_id,event_id,order,activity,ingredient
105,0,13.333333333333334,wash,water
105,1,13.333333333333334,chop,water
105,2,26.666666666666668,use,garlic
105,3,26.666666666666668,use,oil
105,4,40.0,add,parsley
105,5,40.0,add,pepper
105,6,80.0,stick,water
105,7,80.0,add,water
105,8,93.33333333333333,simmer,tomato
105,9,93.33333333333333,mix,tomato
105,10,93.33333333333333,add,tomato
105,11,93.33333333333333,simmer,sauce
105,12,93.33333333333333,mix,sauce
105,13,93.33333333333333,add,sauce
105,14,93.33333333333333,simmer,wine
105,15,93.33333333333333,mix,wine
105,16,93.33333333333333,add,wine
105,17,106.66666666666666,simmer,sauce
105,18,106.66666666666666,uncover,sauce
105,19,106.66666666666666,dilute,sauce
105,20,106.66666666666666,simmer,sauce
105,21,106.66666666666666,cover,sauce
105,22,106.66666666666666,simmer,water
105,23,106.66666666666666,uncover,water
105,24,106.66666666666666,dilute,water
105,25,106.66666666666666,simmer,water
105,26,106.66666666666666,cover,water
105,27,133.33333333333331,add,sauce
105,28,133.33333333333331,like,sauce
105,29,146.66666666666666,serve,sauce
105,30,146.66666666666666,serve,wine
161,31,0.0,use,cream
161,32,2.375,use,garlic
161,33,2.375,use,butter
161,34,2.375,use,garlic
161,35,4.75,add,cream
161,36,4.75,add,basil
161,37,4.75,add,lemon
161,38,4.75,add,juice
161,39,4.75,add,cheese
161,40,4.75,add,pepper
161,41,9.5,taste,salt
161,42,11.875,use,cajun
161,43,11.875,use,salmon
161,44,16.625,coat,salmon
161,45,16.625,coat,cajun
161,46,16.625,coat,spice
161,47,19.0,remember,spice
161,48,19.0,determine,spice
161,49,19.0,remember,spice
161,50,19.0,determine,spice
161,51,21.375,cook,salmon
161,52,21.375,depend,salmon
161,53,26.125,toss,cream
161,54,30.875,place,salmon
161,55,33.25,garnish,parsley
161,56,33.25,shred,parsley
161,57,33.25,garnish,cheese
161,58,33.25,shred,cheese
161,59,35.625,complement,garlic
161,60,35.625,complement,lemon
168,61,5.625,prepare,cheese
168,62,5.625,direct,cheese
168,63,5.625,use,cheese
168,64,11.25,use,onion
168,65,11.25,use,pepper
168,66,11.25,use,celery
168,67,11.25,use,butter
168,68,16.875,add,cheese
168,69,39.375,garnish,pepper
650,70,0.0,absorb,butter
650,71,0.0,absorb,mushroom
650,72,5.0,stir,soup
650,73,5.0,bring,soup
650,74,5.0,boil,soup
650,75,5.0,stir,milk
650,76,5.0,bring,milk
650,77,5.0,boil,milk
650,78,5.0,stir,wine
650,79,5.0,bring,wine
650,80,5.0,boil,wine
650,81,10.0,reduce,pea
650,82,10.0,stir,pea
650,83,10.0,reduce,cream
650,84,10.0,stir,cream
650,85,20.0,toss,noodle
650,86,20.0,toss,parsley
965,87,0.0,prepare,pea
965,88,0.0,accord,pea
965,89,0.0,add,pea
965,90,15.0,return,pea
965,91,22.5,add,cheese
965,92,22.5,toss,cheese
965,93,22.5,melt,cheese
966,94,0.0,start,pasta
966,95,0.0,boil,pasta
966,96,1.6666666666666667,use,oil
966,97,3.3333333333333335,saute,garlic
966,98,3.3333333333333335,start,garlic
966,99,3.3333333333333335,turn,garlic
966,100,3.3333333333333335,saute,&
966,101,3.3333333333333335,start,&
966,102,3.3333333333333335,turn,&
966,103,3.3333333333333335,saute,onion
966,104,3.3333333333333335,start,onion
966,105,3.3333333333333335,turn,onion
966,106,3.3333333333333335,saute,onion
966,107,3.3333333333333335,start,onion
966,108,3.3333333333333335,turn,onion
966,109,5.0,add,wine
966,110,5.0,turn,wine
966,111,5.0,reduce,wine
966,112,5.0,add,wine
966,113,5.0,warm,wine
966,114,5.0,add,&
966,115,5.0,turn,&
966,116,5.0,reduce,&
966,117,5.0,add,&
966,118,5.0,warm,&
966,119,5.0,add,shrimp
966,120,5.0,turn,shrimp
966,121,5.0,reduce,shrimp
966,122,5.0,add,shrimp
966,123,5.0,warm,shrimp
966,124,6.666666666666667,stir,butter
966,125,6.666666666666667,melt,butter
966,126,10.0,taste,salt
966,127,10.0,taste,&
966,128,10.0,taste,pepper
966,129,11.666666666666666,cover,pasta
1627,130,0.0,use,garlic
1627,131,4.537037037037037,cut,garlic
1627,132,4.537037037037037,discard,garlic
1627,133,6.805555555555555,use,garlic
1627,134,6.805555555555555,use,oil
1627,135,9.074074074074074,fold,wine
1627,136,9.074074074074074,add,wine
1627,137,13.611111111111112,bake,garlic
1627,138,13.611111111111112,pierce,garlic
1627,139,18.14814814814815,turn,asparagus
1627,140,20.416666666666668,hold,asparagus
1627,141,20.416666666666668,bend,asparagus
1627,142,20.416666666666668,snap,asparagus
1627,143,20.416666666666668,give,asparagus
1627,144,27.222222222222225,soak,asparagus
1627,145,29.490740740740744,use,spray
1627,146,29.490740740740744,use,spray
1627,147,31.759259259259263,rinse,asparagus
1627,148,38.56481481481482,sprinkle,oil
1627,149,38.56481481481482,sprinkle,asparagus
1627,150,38.56481481481482,sprinkle,garlic
1627,151,38.56481481481482,sprinkle,salt
1627,152,38.56481481481482,sprinkle,pepper
1627,153,43.101851851851855,remove,asparagus
1627,154,43.101851851851855,let,asparagus
1627,155,43.101851851851855,drip,asparagus
1627,156,43.101851851851855,arrange,asparagus
1627,157,43.101851851851855,remove,oil
1627,158,43.101851851851855,let,oil
1627,159,43.101851851851855,drip,oil
1627,160,43.101851851851855,arrange,oil
1627,161,47.63888888888889,roast,asparagus
1627,162,49.90740740740741,let,asparagus
1627,163,49.90740740740741,remove,asparagus
1627,164,49.90740740740741,cover,asparagus
1627,165,49.90740740740741,set,asparagus
1627,166,52.17592592592593,turn,pepper
1627,167,54.44444444444445,cut,pepper
1627,168,61.25000000000001,use,pepper
1627,169,65.78703703703704,turn,pepper
1627,170,70.32407407407408,remove,pepper
1627,171,70.32407407407408,cover,pepper
1627,172,74.86111111111111,bring,lasagna
1627,173,74.86111111111111,bring,noodle
1627,174,77.12962962962963,touch,pepper
1627,175,77.12962962962963,peel,pepper
1627,176,79.39814814814815,cut,pepper
1627,177,79.39814814814815,cut,oil
1627,178,81.66666666666667,add,basil
1627,179,83.93518518518519,toss,pepper
1627,180,83.93518518518519,remove,pepper
1627,181,83.93518518518519,allow,pepper
1627,182,83.93518518518519,drip,pepper
1627,183,83.93518518518519,toss,oil
1627,184,83.93518518518519,remove,oil
1627,185,83.93518518518519,allow,oil
1627,186,83.93518518518519,drip,oil
1627,187,88.47222222222223,leave,oil
1627,188,88.47222222222223,leave,basil
1627,189,93.00925925925927,add,noodle
1627,190,93.00925925925927,cook,noodle
1627,191,93.00925925925927,accord,noodle
1627,192,93.00925925925927,add,noodle
1627,193,93.00925925925927,cook,noodle
1627,194,93.00925925925927,accord,noodle
1627,195,97.5462962962963,use,spray
1627,196,97.5462962962963,use,spray
1627,197,99.81481481481482,remove,noodle
1627,198,99.81481481481482,lie,noodle
1627,199,99.81481481481482,touch,noodle
1627,200,102.08333333333334,use,spray
1627,201,102.08333333333334,use,noodle
1627,202,102.08333333333334,use,spray
1627,203,106.62037037037038,turn,tomato
1627,204,108.8888888888889,spray,spray
1627,205,108.8888888888889,use,spray
1627,206,108.8888888888889,spray,pepper
1627,207,108.8888888888889,use,pepper
1627,208,108.8888888888889,spray,spray
1627,209,108.8888888888889,use,spray
1627,210,111.15740740740742,wash,tomato
1627,211,111.15740740740742,cut,tomato
1627,212,111.15740740740742,remove,tomato
1627,213,113.42592592592594,use,tomato
1627,214,113.42592592592594,use,oil
1627,215,115.69444444444446,add,oil
1627,216,115.69444444444446,add,oregano
1627,217,115.69444444444446,add,basil
1627,218,117.96296296296298,toss,tomato
1627,219,122.50000000000001,sprinkle,salt
1627,220,122.50000000000001,sprinkle,pepper
1627,221,122.50000000000001,sprinkle,oil
1627,222,122.50000000000001,sprinkle,tomato
1627,223,124.76851851851853,sprinkle,parmesan-romano
1627,224,124.76851851851853,sprinkle,cheese
1627,225,131.57407407407408,use,tomato
1627,226,131.57407407407408,use,cheese
1627,227,136.1111111111111,set,tomato
1627,228,136.1111111111111,cool,tomato
1627,229,138.3796296296296,make,butter
1627,230,138.3796296296296,melt,butter
1627,231,138.3796296296296,make,oil
1627,232,138.3796296296296,melt,oil
1627,233,140.6481481481481,add,onion
1627,234,140.6481481481481,sprinkle,onion
1627,235,140.6481481481481,add,salt
1627,236,140.6481481481481,sprinkle,salt
1627,237,147.4537037037036,squeeze,garlic
1627,238,151.99074074074062,sprinkle,salt
1627,239,151.99074074074062,cook,salt
1627,240,151.99074074074062,stir,salt
1627,241,154.25925925925912,add,flour
1627,242,158.79629629629613,add,wine
1627,243,158.79629629629613,continue,wine
1627,244,158.79629629629613,stir,wine
1627,245,158.79629629629613,disappear,wine
1627,246,158.79629629629613,add,wine
1627,247,158.79629629629613,continue,wine
1627,248,158.79629629629613,stir,wine
1627,249,158.79629629629613,disappear,wine
1627,250,170.13888888888866,add,ricotta
1627,251,170.13888888888866,add,crab
1627,252,170.13888888888866,add,lemon
1627,253,170.13888888888866,add,juice
1627,254,174.67592592592567,adjust,salt
1627,255,179.21296296296268,assemble,lasagna
1627,256,179.21296296296268,spray,lasagna
1627,257,179.21296296296268,assemble,spray
1627,258,179.21296296296268,spray,spray
1627,259,179.21296296296268,assemble,spray
1627,260,179.21296296296268,spray,spray
1627,261,181.48148148148118,arrange,noodle
1627,262,183.7499999999997,use,noodle
1627,263,186.0185185185182,arrange,tomato
1627,264,188.2870370370367,cover,tomato
1627,265,190.5555555555552,add,noodle
1627,266,197.36111111111072,arrange,asparagus
1627,267,197.36111111111072,take,asparagus
1627,268,201.89814814814773,use,asparagus
1627,269,201.89814814814773,use,havarti
1627,270,201.89814814814773,use,dill
1627,271,204.16666666666623,add,noodle
1627,272,210.97222222222175,arrange,pepper
1627,273,213.24074074074025,use,pepper
1627,274,215.50925925925876,add,noodle
1627,275,222.31481481481427,arrange,asparagus
1627,276,224.58333333333277,sprinkle,asparagus
1627,277,224.58333333333277,sprinkle,basil
1627,278,226.85185185185128,use,parmesan-romano
1627,279,226.85185185185128,use,cheese
1627,280,229.12037037036978,sprinkle,bay
1627,281,229.12037037036978,sprinkle,spray
1627,282,229.12037037036978,sprinkle,spray
1627,283,233.6574074074068,bake,lasagna
1627,284,233.6574074074068,preheat,lasagna
1627,285,235.9259259259253,bake,lasagna
1627,286,235.9259259259253,cover,lasagna
1627,287,238.1944444444438,remove,parmesan-romano
1627,288,238.1944444444438,bake,parmesan-romano
1627,289,240.4629629629623,cook,lasagna
1627,290,240.4629629629623,bake,lasagna
1627,291,240.4629629629623,cover,lasagna
1627,292,240.4629629629623,uncover,lasagna
2012,293,6.153846153846154,use,clam
2012,294,9.230769230769232,heat,oil
2012,295,12.307692307692308,add,garlic
2012,296,12.307692307692308,cook,garlic
2012,297,15.384615384615385,stir,bacon
2012,298,15.384615384615385,cook,bacon
2012,299,15.384615384615385,stir,pepper
2012,300,15.384615384615385,cook,pepper
2012,301,15.384615384615385,stir,flake
2012,302,15.384615384615385,cook,flake
2012,303,18.461538461538463,add,vermouth
2012,304,18.461538461538463,bring,vermouth
2012,305,21.53846153846154,add,clam
2012,306,21.53846153846154,bring,clam
2012,307,21.53846153846154,add,broth
2012,308,21.53846153846154,bring,broth
2012,309,24.615384615384617,stir,potato
2012,310,24.615384615384617,cover,potato
2012,311,24.615384615384617,cook,potato
2012,312,24.615384615384617,stir,clam
2012,313,24.615384615384617,cover,clam
2012,314,24.615384615384617,cook,clam
2012,315,24.615384615384617,stir,potato
2012,316,24.615384615384617,cover,potato
2012,317,24.615384615384617,cook,potato
2012,318,27.692307692307693,cook,spaghetti
2012,319,36.92307692307693,stir,parsley
2012,320,36.92307692307693,serve,parsley
2269,321,0.0,plan,tomato
2269,322,0.0,use,tomato
2269,323,0.0,wash,tomato
2269,324,0.0,take,tomato
2269,325,4.166666666666667,cook,tomato
2269,326,4.166666666666667,stir,tomato
2269,327,4.166666666666667,cook,oil
2269,328,4.166666666666667,stir,oil
2269,329,4.166666666666667,cook,clove
2269,330,4.166666666666667,stir,clove
2269,331,4.166666666666667,cook,garlic
2269,332,4.166666666666667,stir,garlic
2269,333,4.166666666666667,cook,parsley
2269,334,4.166666666666667,stir,parsley
2269,335,8.333333333333334,use,tomato
2269,336,8.333333333333334,need,tomato
2269,337,12.5,use,garlic
2269,338,12.5,use,clove
2269,339,16.666666666666668,add,shrimp
2269,340,29.16666666666667,add,oil
2269,341,33.333333333333336,stir,pasta
2269,342,33.333333333333336,stir,pasta
2269,343,41.666666666666664,use,pasta
2520,344,2.0588235294117645,add,peanut
2520,345,2.0588235294117645,add,oil
2520,346,2.0588235294117645,add,sesame
2520,347,2.0588235294117645,add,oil
2520,348,4.117647058823529,add,oil
2520,349,4.117647058823529,stir,oil
2520,350,4.117647058823529,add,onion
2520,351,4.117647058823529,stir,onion
2520,352,6.1764705882352935,add,garlic
2520,353,6.1764705882352935,stir,garlic
2520,354,6.1764705882352935,add,curry
2520,355,6.1764705882352935,stir,curry
2520,356,6.1764705882352935,add,paste
2520,357,6.1764705882352935,stir,paste
2520,358,12.352941176470587,add,chicken
2520,359,12.352941176470587,stir,chicken
2520,360,12.352941176470587,coat,chicken
2520,361,12.352941176470587,add,paste
2520,362,12.352941176470587,stir,paste
2520,363,12.352941176470587,coat,paste
2520,364,14.411764705882351,add,chili
2520,365,14.411764705882351,stir,chili
2520,366,14.411764705882351,add,sauce
2520,367,14.411764705882351,stir,sauce
2520,368,14.411764705882351,add,fish
2520,369,14.411764705882351,stir,fish
2520,370,14.411764705882351,add,sauce
2520,371,14.411764705882351,stir,sauce
2520,372,16.470588235294116,add,stock
2520,373,16.470588235294116,stir,stock
2520,374,18.52941176470588,add,noodle
2520,375,18.52941176470588,simmer,noodle
2520,376,20.588235294117645,add,lemongrass
2520,377,24.705882352941174,add,vegetable
2520,378,28.823529411764703,cook,vegetable
2520,379,30.882352941176467,add,coconut
2520,380,30.882352941176467,stir,coconut
2520,381,30.882352941176467,simmer,coconut
2520,382,30.882352941176467,add,milk
2520,383,30.882352941176467,stir,milk
2520,384,30.882352941176467,simmer,milk
2578,385,3.7142857142857144,mix,onion
2578,386,3.7142857142857144,mix,tomato
2578,387,3.7142857142857144,mix,coriander
2578,388,3.7142857142857144,mix,lime
2578,389,3.7142857142857144,mix,juice
2578,390,3.7142857142857144,mix,oil
2578,391,11.142857142857142,heat,oil
2578,392,11.142857142857142,cook,oil
2578,393,11.142857142857142,heat,garlic
2578,394,11.142857142857142,cook,garlic
2578,395,14.857142857142858,add,crabmeat
2578,396,14.857142857142858,heat,crabmeat
2578,397,18.571428571428573,drain,pasta
2578,398,18.571428571428573,stir,pasta
2660,399,3.6363636363636362,use,salt
2660,400,14.545454545454545,use,pine
2660,401,14.545454545454545,use,nut
2660,402,18.18181818181818,use,pasta
2660,403,21.818181818181817,combine,oil
2660,404,21.818181818181817,combine,vinegar
2660,405,21.818181818181817,combine,lemon
2660,406,21.818181818181817,combine,zest
2660,407,25.454545454545453,pour,pasta
2660,408,29.09090909090909,add,nut
2660,409,29.09090909090909,combine,nut
2660,410,29.09090909090909,add,olive
2660,411,29.09090909090909,combine,olive
2660,412,29.09090909090909,add,parsley
2660,413,29.09090909090909,combine,parsley
2660,414,32.72727272727273,stir,tomato
2660,415,32.72727272727273,taste,tomato
2660,416,32.72727272727273,stir,shrimp
2660,417,32.72727272727273,taste,shrimp
2660,418,32.72727272727273,stir,cheese
2660,419,32.72727272727273,taste,cheese
2660,420,32.72727272727273,stir,salt
2660,421,32.72727272727273,taste,salt
2660,422,32.72727272727273,stir,pepper
2660,423,32.72727272727273,taste,pepper
2998,424,3.3333333333333335,heat,oil
2998,425,6.666666666666667,add,shallot
2998,426,6.666666666666667,cook,shallot
2998,427,16.666666666666668,garnish,parsley
2998,428,16.666666666666668,garnish,cheese
3074,429,0.0,accord,pasta
3074,430,10.0,fry,tuna
3074,431,20.0,break,tuna
3074,432,20.0,serve,tuna
3074,433,20.0,break,pasta
3074,434,20.0,serve,pasta
3074,435,23.333333333333332,toss,pasta
3074,436,23.333333333333332,dress,pasta
3074,437,23.333333333333332,toss,tuna
3074,438,23.333333333333332,dress,tuna
3171,439,0.0,use,oil
3171,440,3.0,add,ricotta
3171,441,3.0,stir,ricotta
3171,442,3.0,add,ricotta
3171,443,3.0,simmer,ricotta
3171,444,3.0,add,milk
3171,445,3.0,stir,milk
3171,446,3.0,add,milk
3171,447,3.0,simmer,milk
3171,448,3.0,add,salmon
3171,449,3.0,stir,salmon
3171,450,3.0,add,salmon
3171,451,3.0,simmer,salmon
3171,452,6.0,need,milk
3171,453,9.0,pour,cheese
3171,454,12.0,add,salt
