case_id,event_id,order,activity,ingredient
1,0,3.3333333333333335,use,pizza
1,1,10.0,cut,sausage
1,2,13.333333333333334,whisk,egg
1,3,13.333333333333334,whisk,milk
1,4,16.666666666666668,sprinkle,sausage
1,5,16.666666666666668,sprinkle,crust
1,6,16.666666666666668,sprinkle,cheese
1,7,20.0,pour,egg
1,8,20.0,pour,sausage
1,9,20.0,pour,cheese
1,10,26.666666666666664,bake,egg
1,11,26.666666666666664,set,egg
1,12,26.666666666666664,bake,crust
1,13,26.666666666666664,set,crust
302,14,0.0,chop,tomato
302,15,6.666666666666667,use,oil
302,16,13.333333333333334,add,onion
302,17,13.333333333333334,saute,onion
302,18,13.333333333333334,add,celery
302,19,13.333333333333334,saute,celery
302,20,13.333333333333334,add,onion
302,21,13.333333333333334,saute,onion
302,22,13.333333333333334,add,celery
302,23,13.333333333333334,saute,celery
302,24,20.0,add,zucchini
302,25,26.666666666666668,add,tomato
302,26,26.666666666666668,add,sugar
302,27,26.666666666666668,add,salt
595,28,2.5,spread,dress
595,29,2.5,dress,dress
595,30,2.5,use,dress
595,31,2.5,depend,dress
595,32,2.5,spread,pizza
595,33,2.5,dress,pizza
595,34,2.5,use,pizza
595,35,2.5,depend,pizza
595,36,2.5,spread,crust
595,37,2.5,dress,crust
595,38,2.5,use,crust
595,39,2.5,depend,crust
595,40,7.5,use,cheese
595,41,7.5,use,bacon
595,42,10.0,bake,cheese
595,43,10.0,melt,cheese
595,44,12.5,use,lettuce
595,45,12.5,use,pickle
595,46,12.5,use,tomatoe
595,47,12.5,use,mustard
595,48,17.5,cut,pizza
595,49,17.5,come,pizza
595,50,17.5,let,pizza
595,51,17.5,top,pizza
739,52,20.0,remove,sausage
739,53,20.0,saute,sausage
739,54,20.0,add,sausage
739,55,20.0,simmer,sausage
739,56,20.0,remove,garlic
739,57,20.0,saute,garlic
739,58,20.0,add,garlic
739,59,20.0,simmer,garlic
739,60,20.0,remove,onion
739,61,20.0,saute,onion
739,62,20.0,add,onion
739,63,20.0,simmer,onion
739,64,20.0,remove,bell
739,65,20.0,saute,bell
739,66,20.0,add,bell
739,67,20.0,simmer,bell
739,68,20.0,remove,pepper
739,69,20.0,saute,pepper
739,70,20.0,add,pepper
739,71,20.0,simmer,pepper
739,72,20.0,remove,sausage
739,73,20.0,saute,sausage
739,74,20.0,add,sausage
739,75,20.0,simmer,sausage
739,76,20.0,remove,tomato
739,77,20.0,saute,tomato
739,78,20.0,add,tomato
739,79,20.0,simmer,tomato
739,80,20.0,remove,sauce
739,81,20.0,saute,sauce
739,82,20.0,add,sauce
739,83,20.0,simmer,sauce
739,84,30.0,pour,mozzarella
739,85,30.0,pour,pepperoni
852,86,3.75,use,pepperoni
852,87,3.75,use,ricotta
852,88,3.75,use,mozzarella
852,89,7.5,cut,dough
852,90,18.75,fight,dough
852,91,18.75,remain,dough
852,92,18.75,win,dough
852,93,30.0,use,oil
852,94,37.5,heat,sauce
881,95,0.0,dissolve,honey
881,96,0.0,let,honey
881,97,0.0,sit,honey
881,98,0.0,dissolve,yeast
881,99,0.0,let,yeast
881,100,0.0,sit,yeast
881,101,0.0,dissolve,water
881,102,0.0,let,water
881,103,0.0,sit,water
881,104,7.2727272727272725,stir,salt
881,105,7.2727272727272725,stir,flour
881,106,7.2727272727272725,stir,gluten
897,107,4.32,use,oil
897,108,4.32,scrape,oil
897,109,4.32,pull,oil
897,110,4.32,form,oil
897,111,11.88,spray,oil
897,112,11.88,spray,oil
897,113,11.88,spray,oil
897,114,11.88,spray,oil
897,115,16.200000000000003,press,oil
897,116,19.439999999999998,use,flour
897,117,19.439999999999998,shape,flour
897,118,19.439999999999998,use,flour
897,119,19.439999999999998,rotate,flour
897,120,19.439999999999998,strech,flour
897,121,19.439999999999998,reach,flour
1210,122,2.3076923076923075,rim,pizza
1210,123,2.3076923076923075,rim,dough
1210,124,4.615384615384615,use,pizza
1210,125,4.615384615384615,use,dough
1210,126,16.15384615384615,combine,alfredo
1210,127,16.15384615384615,spread,alfredo
1210,128,16.15384615384615,combine,pizza
1210,129,16.15384615384615,spread,pizza
1210,130,16.15384615384615,combine,sauce
1210,131,16.15384615384615,spread,sauce
1210,132,16.15384615384615,combine,pizza
1210,133,16.15384615384615,spread,pizza
1210,134,18.461538461538456,use,basil
1210,135,18.461538461538456,use,sauce
1210,136,20.769230769230763,spread,pizza
1210,137,20.769230769230763,spread,pepper
1210,138,23.07692307692307,distribute,cheese
1255,139,2.9411764705882355,place,quinoa
1255,140,2.9411764705882355,add,quinoa
1255,141,2.9411764705882355,bring,quinoa
1255,142,2.9411764705882355,place,water
1255,143,2.9411764705882355,add,water
1255,144,2.9411764705882355,bring,water
1255,145,8.823529411764707,cover,quinoa
1255,146,8.823529411764707,simmer,quinoa
1255,147,11.764705882352942,let,quinoa
1255,148,11.764705882352942,absorb,quinoa
1255,149,11.764705882352942,leave,quinoa
1255,150,11.764705882352942,cook,quinoa
1255,151,11.764705882352942,let,water
1255,152,11.764705882352942,absorb,water
1255,153,11.764705882352942,leave,water
1255,154,11.764705882352942,cook,water
1255,155,11.764705882352942,let,quinoa
1255,156,11.764705882352942,absorb,quinoa
1255,157,11.764705882352942,leave,quinoa
1255,158,11.764705882352942,cook,quinoa
1255,159,14.705882352941178,combine,quinoa
1255,160,14.705882352941178,combine,oil
1255,161,14.705882352941178,combine,flour
1459,162,2.2,heat,oil
1459,163,4.4,add,onion
1459,164,4.4,add,sugar
1459,165,4.4,add,salt
1459,166,6.6000000000000005,cook,onion
1459,167,6.6000000000000005,stir,onion
1459,168,8.8,stir,spinach
1459,169,8.8,stir,ricotta
1459,170,8.8,stir,basil
1459,171,8.8,stir,salt
1459,172,11.0,place,crust
1459,173,11.0,spread,crust
1459,174,11.0,cover,crust
1459,175,11.0,place,pizza
1459,176,11.0,spread,pizza
1459,177,11.0,cover,pizza
1459,178,11.0,place,spinach
1459,179,11.0,spread,spinach
1459,180,11.0,cover,spinach
1459,181,13.2,sprinkle,onion
1459,182,15.399999999999999,use,pizza
1459,183,15.399999999999999,slide,pizza
1459,184,17.599999999999998,cover,pizza
